Company,Industry,
1time_holdings,Consumer Goods,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201600,176400,168000,172200,147000,138600,161700,130200,105000,94500,107100,94500,111300,79800,96600,0,107100,84000,111300,88200,84000,96600,102900,170100,168000,178500,222600,220500,241500,226800,247800,239400,226800,224700,283500,224700,222600,205800,172200,184800,184800,136500,190400,182000,126000,117600,131600,106400,92400,84000,81200,64400,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AECI,Basic Materials,,,,,,,1834993.6,1928828.5,1814141.4,1741158.7,1647323.8,1490932.3,1720306.5,1793289.2,1850632.75,1876698,2069580.85,2106072.2,2293742,2210333.2,2424068.25,2501221.39,2382363.85,2596098.9,2575246.7,2658655.5,2502264,2669081.6,2387576.9,2205120.15,2450133.5,2465772.65,2710786,2794194.8,2919308,2971438.5,3127830,3996564,3667435.2,4291604.46,4296306.3,4208146.8,3855508.8,3632171.4,3573398.4,3937791,3761472,4161128.4,4349202,4584294,4819386,5054478,4995705,4872281.7,5009810.52,5277815.4,5648085.3,6171165,5795017.8,5777385.9,6229938,6229938,6730683.96,6288711,6347484,6993987,6870563.7,6876441,6509697.48,6582576,6935214,7274921.94,7728649.5,8022514.5,8616121.8,8334011.4,8580858,9468330.3,10402821,9574121.7,9579999,9344907,9697545,10589719.14,9638772,9286134,7552330.5,8110674,7522944,7746281.4,7999005.3,7522944,7249667,7962749,7309090.5,6287006.3,5645232.5,6061197,6060008.53,5228079.53,5229268,5793791.25,5466962,5526385.5,6298891,6655432,7023307.2,7226362,7148160,7386432,7088592,7136246.4,7702142.4,8035723.2,8220384,8101248,8184643.2,8107204.8,8696928,9285459.84,9471312,9828720,9536836.8,10025294.4,9900201.6,10245696,10430356.8,10055078.4,9542793.6,8744582.4,8845848,9055527.36,9530880,9845399.04,10524275,11835361.89,12054654,11399342.49,10322118.09,10227219.75,10009210.05,10644003,10495243.44,9469315.44,10002798,10233631.8,10931262.84,12182895,13085711.64,12875396.4,14234751,14683594.5,14973419.16,15004197,15324799.5,15677462.25,15227336.34,16030125
Adcorp,Industrials,,,,,,,548550,593673.6,574860,618207.8,550810,508440,427937,396187.55,381357,364407.8,385594.3,381357,423730,407347.2,381888,265937.5,258278.5,265937.5,265937.5,268065,287212.5,297850,297850,308487.5,338272.5,350557.8,314293.2,346931.34,355034.19,411049.8,451751.79,475528.2,483588,564186,584335.5,564186,523887,554917.23,550577.15,625748.2,671781,689160.16,681384.6,697260.2,798342.3,816908.4,776231.25,778301.2,724482.5,750672,813228,953381,961743,893655,903416.8,1022736,1022736,1001429,1173260,1139128.8,1082812.32,935358.75,963312,1010617.5,1006353,1103742,1190310,1301460,1281938.1,1461973.4,1474988,1626825,1644177.8,1875789,1837766.25,1828620,1904812.5,2195553.6,1921109.4,2032920,1765591.02,1807042.05,1524930,1621000.59,1728594,1448968.5,1474389,1595389.5,1525084.2,1297944,1330589.4,1217002.5,1238638.1,1111489.5,921723,1138599,1247037,1301256,1341920.25,1330325.5,1495394.46,1455213.2,1303392,1357700,1406577.2,1601343,1518310.4,1576433.22,1602855,1588013.75,1661711.35,1762668,1605574.08,1793592,1911165,1713245,1688505,1669950,1716337.5,1669950,1700875,1781791.5,1694264.9,1706768.7,1562975,1625494,1966228.5,1966228.5,2054901.55,2224502.5,2122368.82,2089098,2104572.8,2119911.07,2109753,2070683.5,2187892,2363704.75,2317072.8,2356478.8,2846172,2919621.6,2800266,2644185.6,2841581.4,2719471.44,2916146.4,3034816.08,2989740,3191202.48,2989740,3252990
Advtech,Consumer Goods,,,,,,,129625.32,125697.28,137481.4,133553.36,94272.96,90344.92,94272.96,102129.04,125972.8,161402.65,141719.4,129909.45,149592.7,181085.9,141719.4,133846.1,122036.15,125972.8,137782.75,157466,0,129909.45,137782.75,153529.35,157466,165339.3,173212.6,220452.4,216515.75,240135.65,275565.5,330678.6,295248.75,314932,334615.25,334615.25,303122.05,310995.35,338551.9,342488.55,354298.5,421221.55,503891.2,472398,499954.55,503891.2,531447.75,551131,543257.7,555067.65,629864,708597,728280.25,747963.5,787330,826696.5,862126.35,905429.5,992035.8,1003845.75,964479.25,885746.25,956605.95,1039275.6,1019592.35,1062895.5,1180995,1220361.5,1184931.65,1318777.75,1582533.3,1692759.5,1850225.5,1810859,1771492.5,1732126,1850225.5,1928958.5,1921085.2,1909275.25,1633709.75,1791175.75,1554976.75,1637646.4,1653393,1476243.75,1527420.2,1614026.5,1535293.5,1377827.5,1342397.65,1554976.75,1456560.5,1377827.5,1460497.15,1574660,1633709.75,1692759.5,1828099.1,1868365.6,1973058.5,2053591.5,2073724.75,2104399.5,2072332.46,2364944.2,2425069.9,2445111.8,2324860.4,2364944.2,2344902.3,2284776.6,2425069.9,2437095.04,2445111.8,2384986.1,2284776.6,2232667.66,2164525.2,2244692.8,2324860.4,2256717.94,2264734.7,2356928,2335884,2483192,2605247.2,2609456,2689423.2,2769390.4,2840940,2651544,2422371.5,2401307.4,2397094.58,2561394.56,2422371.5,2397094.58,2485563.8,2611948.4,2839440.68,2843653.5,2948974,2780461.2,2864717.6,2948974,2860504.78,2746758.64,2759397.1,2780461.2,2822589.4,2767822.74
Afgem,Basic Materials,,,,,,,,168118.6,125442.34,161652.5,155186.4,155422.8,161898.75,182621.79,207230.4,207230.4,142470.9,155422.8,213706.35,213706.35,259038,252562.05,246086.1,297893.7,271989.9,260333.19,265641.05,265641.05,257866.19,220287.7,213384,192045.6,192045.6,194890.72,156481.6,186355.36,170707.2,213384,284512,312963.2,305850.4,327188.8,71899,35949.5,50329.3,54643.24,50329.3,47453.34,64709.1,93468.7,77650.92,69023.04,58957.18,53205.26,43139.4,53205.26,131022.08,142720.48,140380.8,114644.32,105285.6,95926.88,91247.52,88907.84,81888.8,93587.2,91247.52,72530.08,58492,87591.48,72134.16,66981.72,66981.72,56676.84,61829.28,36067.08,33490.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afgri,Consumer Goods,,,,,,,,2751537.6,2717568,3131997.12,3396960,3125203.2,3396960,3390166.08,3410547.84,3091233.6,3329020.8,3838564.8,3804595.2,3600777.6,3430929.6,3566808,3464899.2,3736656,3648335.04,1983235.06,1761310,1479500.4,1391434.9,1373821.8,1655631.4,1479500.4,1708470.7,1849375.5,1884601.7,1972667.2,1906258.14,2028316.1,2067805.44,2264944.5,2336847.5,2318871.75,2193041.5,2193041.5,2264944.5,2228993,2372799,2509414.7,2552556.5,2516605,2070806.4,1725672,1653769,1603436.9,1833526.5,1815550.75,1941381,1993691.75,1957110.25,2030273.25,1902238,2008324.35,2158308.5,2392281.6,2354902.2,2145577.56,2298833.1,2037177.3,2336212.5,2246501.94,2579178.6,2822144.7,2695054.74,2754861.78,2683840.92,2429661,2429661,2515633.62,2616558,2504419.8,2575440.66,2317522.8,2422185.12,2429661,2650199.46,2930544.96,2616558,2541799.2,2803455,2467040.4,2612820.06,2298833.1,2168005.2,2130625.8,1846542.36,1644693.6,1644693.6,2242764,1839066.48,1495176,1607314.2,1831590.6,1962418.5,1865232.06,1868970,2093246.4,2156791.38,2235288.12,2130625.8,2261453.7,2224074.3,2186694.9,2392281.6,2541799.2,2523109.5,2336212.5,2616558,2410971.3,2560488.9,2500856.64,2703628.8,2853830.4,2666078.4,2666078.4,2572202.4,2624772.96,2497101.6,2448286.08,2403225.6,2365675.2,2159148,1952620.8,2027721.6,1967640.96,2286819.36,2211718.56,2384450.4,2253024,2159148,2177923.2,2012701.44,2065272,1948865.76,1967640.96,1866254.88,2001436.32,1881275.04,1956375.84,2008946.4,1832459.52,1670992.8,1558341.6,1806174.24,1742338.56,2478326.4,2478326.4,2478326.4,2459551.2
Afnrainbowmin,Basic Materials,,,,,,,,,,,,,,,0,0,0,0,0,5013750,4775000,5682250,6685000,6341200,6397545,7549275,7988575,6876000,6088125,5357550,7224575,6541750,6320190,7181600,7926500,7926500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afribrand,Consumer Goods,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,,,,,,,29803.68,0,0,19869.12,0,0,0,23180.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acucap_properties,Fincials,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,380496,382477.75,384459.5,380496,376928.85,372569,388423,376532.5,388423,420131,453820.75,416167.5,439948.5,565949.2,573461.8,560940.8,629055.04,661108.8,701176,663613,652223,644697.35,649714.45,644697.35,617103.3,647205.9,715057.2,758394,758394,845067.6,869444.55,911495.36,960077.6,1033804.8,1131843,1238369.4,1286938.9,1340842.1,1482338,1549717,1549717,1485706.95,1569497,1637736,1753742.3,1865620.8,1941068.7,1875909.15,1676620,1676620,1948368,1990582.64,2049845.5,2159441.2,2694973.05,2929970.7,2979970.2,3155968.44,3299967,3379966.2,3099969,3097969.02,2999970,3663175.7,4643877,4330305,4465025.6,4081484.3,3986630,3869780.5,3505485,3382177.5,3098511,3603291.9,3898596,3779310.6,3462186,3666750,4033425,4090626.3,3888221.7,4048092,4143427.5,4143427.5,3879421.5,4238763,4400100,4415850,4746043.5,4588627.74,4903394,4825888.74,4999880.14,5211833.3,5377916,5219742,5107438.46,5665949.45,5699327.65,6004738.18,6124899.7,6088183.68,5927705,5836032,5604307.2,5904691.2,6274240.5,6016395,6102343.5,6214076.55,6411758.1,6703983,6659289.78,6686793.3,6532086,6875880,6936043.95,7223151.1,7152161.9,7258645.7,7631339,8348329.92,8605665.77,8476446.8,8103555.9,8403687.6,8258169.2,8413979.35,8529591.28,9166374.45,9623316.84,8437835.78,8771825.8,8074484,7707462,8232303.46,8615841.45,8131372.41,8002914.71
