Start,1992
End,2012
Frequency,Y
Name,INVICTA - TOT RETURN IND
Code,152183(RI)
CURRENCY,R
1992,51.58
1993,55.55
1994,39.68
1995,128.13
1996,202.38
1997,399.05
1998,516.1
1999,141.09
2000,237.34
2001,304.01
2002,349.83
2003,668.71
2004,980.51
2005,1982.71
2006,2148.05
2007,4466.59
2008,4777.77
2009,3907.39
2010,4495.66
2011,8267.17
2012,9777.24
