Start,1992
End,2012
Frequency,Y
Name,ALLIED ELECTRONICS - TOT RETURN IND
Code,997026(RI)
CURRENCY,R
1992,145.47
1993,228.1
1994,242.15
1995,316.48
1996,319.55
1997,170.64
1998,323.83
1999,187.89
2000,242.45
2001,238.83
2002,302.96
2003,343.74
2004,452.78
2005,720.28
2006,1045.32
2007,1616.77
2008,2274.87
2009,1095.75
2010,1406.84
2011,1414.84
2012,1262.65
