Start,1992
End,2012
Frequency,Y
Name,HOWDEN AFRICA - TOT RETURN IND
Code,871347(RI)
CURRENCY,R
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,93.18
1998,93.28
1999,22.9
2000,30.58
2001,30.1
2002,25.2
2003,29.94
2004,56.04
2005,110.31
2006,251.75
2007,279.08
2008,732.58
2009,580.22
2010,764.29
2011,947.32
2012,1271.16
