Start,1992
End,2012
Frequency,Y
Name,AFRICAN OXYGEN - TOT RETURN IND
Code,933382(RI)
CURRENCY,R
1992,324.83
1993,450.69
1994,451.65
1995,472.75
1996,705.85
1997,769.05
1998,647.85
1999,358.42
2000,752.13
2001,630.74
2002,772.19
2003,899.45
2004,1311.34
2005,1747.64
2006,2185.13
2007,2635.36
2008,2950.55
2009,2296.17
2010,2131.82
2011,2030.97
2012,1625.29
