Start,1992
End,2012
Frequency,Y
Name,NAMPAK - TOT RETURN IND
Code,930021(RI)
CURRENCY,R
1992,246.85
1993,332.36
1994,433.36
1995,591.23
1996,812.73
1997,762.61
1998,614.23
1999,394.29
2000,840.75
2001,531.81
2002,588.74
2003,716.18
2004,689.54
2005,886.11
2006,998.81
2007,1356.14
2008,1405.23
2009,918.02
2010,1128.66
2011,1765.93
2012,1811.08
