Start,1992
End,2012
Frequency,Y
Name,JCI - TOT RETURN IND
Code,981908(RI)
CURRENCY,R
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,107.53
1998,34.9
1999,19.94
2000,19.94
2001,9.47
2002,11.96
2003,14.21
2004,19.44
2005,6.73
2006,3.99
2007,3.99
2008,3.99
2009,3.99
2010,3.99
2011,3.99
2012,3.99
