Start,1992
End,2012
Frequency,Y
Name,TSOGO SUN - TOT RETURN IND
Code,152204(RI)
CURRENCY,R
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,73.67
1998,70.84
1999,118.07
2000,146.54
2001,175.85
2002,251.22
2003,287.85
2004,660.55
2005,1470.98
2006,1738.3
2007,2517.56
2008,4168.4
2009,2347.94
2010,2642.44
2011,2743.76
2012,2419.72
