Start,01/01/1992
End,12/01/2012
Frequency,M
Name,AVMIN DEAD - T/OVER 936977 - TOT RETURN IND
Code,932367(RI)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,100
02/01/1993,115.94
03/01/1993,115.94
04/01/1993,117.71
05/01/1993,129.33
06/01/1993,130.79
07/01/1993,130.79
08/01/1993,138.05
09/01/1993,123.52
10/01/1993,119.18
11/01/1993,146.23
12/01/1993,158.66
01/01/1994,175.48
02/01/1994,175.48
03/01/1994,160.85
04/01/1994,140.67
05/01/1994,172.9
06/01/1994,164.84
07/01/1994,172.17
08/01/1994,183.16
09/01/1994,219.79
10/01/1994,191.7
11/01/1994,184.33
12/01/1994,154.83
01/01/1995,165.89
02/01/1995,140.09
03/01/1995,143.77
04/01/1995,133.08
05/01/1995,140.48
06/01/1995,151.57
07/01/1995,140.48
08/01/1995,140.48
09/01/1995,155.26
10/01/1995,161.71
11/01/1995,171.39
12/01/1995,197.48
01/01/1996,216.1
02/01/1996,223.56
03/01/1996,225.05
04/01/1996,235.13
05/01/1996,253.79
06/01/1996,268.72
07/01/1996,295.59
08/01/1996,298.58
09/01/1996,272.45
10/01/1996,268.26
11/01/1996,293.88
12/01/1996,259.97
01/01/1997,263.74
02/01/1997,227.57
03/01/1997,298.4
04/01/1997,275.13
05/01/1997,259.22
06/01/1997,241.78
07/01/1997,241.78
08/01/1997,183.42
09/01/1997,180.39
10/01/1997,188.37
11/01/1997,132.78
12/01/1997,95.73
01/01/1998,90.32
02/01/1998,74.11
03/01/1998,61.76
04/01/1998,57.13
05/01/1998,82.41
06/01/1998,53.37
07/01/1998,62
08/01/1998,56.51
09/01/1998,42.38
10/01/1998,63.96
11/01/1998,64.78
12/01/1998,60.68
01/01/1999,51.66
02/01/1999,51.66
03/01/1999,51.66
