Name,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Technology,4938,4938,4938,3990,3990,3990,3990,3990,3990,3990,3990,3990,3990,3990,3990,4961,4961,4961,4961,4961,4961,4961,4961,4961,4961,4961,4961,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,3354,3354,3354,3354,3354,3354,3354,3354,3354,3354,3354,3354,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3094,3094,3094,3094,3094,3094,3094,3094,3094,3094,3094,3094,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,8699,8699,8699,8699,8699,8699,8699,8699,8699,8699,8699,8699,67709,67709,67709,67709,67709,67709,67709,67709,67709,67709,67709,67709,67709,67709,67709,67709,46987,46987,46987,46987,46987,46987,46987,46987,46987,46987,46987,46987,64108,64108,64108,64108,64108,64108,64108,64108,64108,64108,64108,64108,71938,71938,71938,71938,71938,71938,71938,71938,71938,71938,71938,71938,82742,82742,82742,82742,82742,82742
Excess return,Technology,,-0.013407271,-0.449712355,-0.561973926,0.16092265,0.038037219,-0.402390415,-0.77011555,0.924622676,-0.2275812,-0.2307645,0.176136049,-0.284769914,-0.341804898,-0.133545105,-0.2530277,0.411022966,-0.2390689,-0.33329968,-0.581638398,-0.248024,0.005501155,0.163697201,-0.357499576,-0.377434899,-0.12850514,-0.364479873,-0.1806173,-0.274071642,0.126668013,0.08901114,-0.398461564,0.126282632,-0.266391796,-0.225413276,-0.1686245,0.080649699,-0.389937646,-0.119382233,0.034760202,-0.302996068,0.236010853,-0.036281785,0.019886922,-0.375275397,-0.08703007,-0.1421039,-0.1243787,-0.064444779,-0.055100082,-0.209763747,-0.166859321,-0.05069827,0.316437229,-0.021315946,-0.251100647,0.092785392,-0.005155568,-0.040107482,-0.191812876,-0.137068344,0.078544005,0.0033243,-0.0915525,0.0049883,-0.134064541,-0.299093617,-0.032713977,-0.207444167,-0.11883,-0.1187989,-0.099905164,-0.044468322,0.179145387,-0.272581439,-0.05955203,-0.059547209,0.100397109,-0.12892636,-0.233311514,-0.123134635,-0.082220338,-0.107807454,-0.165575707,-0.014343741,-0.450567313,-0.093732647,-0.240109883,-0.264771691,0.272895412,-0.429099539,0.1000399,-0.159247996,-0.180411032,-0.213648724,-0.017460637,-0.1290255,-0.229386382,-0.150642737,-0.170133781,-0.234020017,0.265961253,-0.300241855,-0.183266904,-0.1415772,-0.325320422,0.070732057,-0.439266112,0.1047715,-0.194994705,-0.036179055,-0.071800372,-0.024801716,-0.274936238,0.00099977,-0.122363518,-0.22688138,0.046297299,-0.125346432,-0.115405698,-0.052276866,-0.059490253,-0.07419426,-0.307304034,-0.065808473,-0.1434027,-0.1542137,-0.082884667,-0.299973465,-0.124082247,-0.048273078,-0.1217872,0.339424763,-0.056549883,-0.156797785,-0.129262446,0.027414741,-0.148355126,0.004610899,-0.121188539,-0.063369111,0.215998582,-0.129446338,-0.156384435,-0.023872501,0.034690392,0.568521975,-0.118431827,0.176526863,-0.101203899,-0.195635601,0.078228324,0.110986816,0.235103159,-0.073748819,0.001496393,0.126432887
Risk premium,Technology,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Technology,1.0727,1.0561,1.3172,1.6871,1.8858,2.0618,2.0211,2.0743,1.7746,1.9124,1.9915,1.92,1.9344,1.9028,1.9078,1.9179,1.9196,1.9503,1.9879,2.1868,2.148,2.1052,1.9732,1.7439,1.6873,1.7275,1.2832,1.2971,1.353,1.2275,1.1061,1.1123,1.2966,1.1486,0.964,1.2115,1.0885,1.0798,1.0598,1.0866,1.1038,0.7394,0.7559,0.5983,0.6035,0.6841,0.5953,0.5949,0.6483,0.4583,0.4813,0.3724,0.4455,0.4434,0.4302,0.1923,0.2662,0.3824,0.2236,0.1699,0.3827,0.4315,0.4057,0.2675,0.4544,0.4554,0.6402,0.5997,0.5947,0.61,0.6103,0.6264,0.5989,0.7028,0.6415,0.2074,0.1442,0.2316,0.5134,0.5289,0.417,0.485,0.5773,0.1644,0.7564,0.8595,0.9386,0.8689,1.0165,1.3777,0.8578,0.9327,0.8335,0.8317,0.8445,0.7681,0.7885,0.7847,0.6948,0.6779,0.9017,0.9386,0.8556,0.8524,0.8544,0.9174,0.8703,0.951,0.8695,0.9119,0.8944,0.9301,0.7762,0.7484,0.8973,1.0074,1.0695,1.1267,1.1219,1.1389,1.1909,1.3919,1.4321,1.4219,0.9492,0.9429,1.1399,1.2053,1.1204,0.9745,0.9709,0.6744,0.6206,0.6146,0.6342,0.676,0.5563,0.6503,0.6004,0.593,0.3615,0.3345,0.2792,0.1816,0.2772,-0.2447,-0.2903,-0.4597,-0.4912,-0.1636,-0.1967,-0.1769,-0.2011,-0.2748,-0.2576,0.1529,0.1529
VO monthly avg,Technology,0,17.2,4.14,34.47,3.11,141.28,2.29,117.92,4.75,13.07,18.11,2.57,3.35,4,1.09,4.41,22.98,0.5,7.03,2.52,5.02,9.61,16.86,2.38,2.87,6.07,60.53,21,8.2,8.46,11.85,2.46,321.23,257.8,0.99,3.44,4.03,19.44,113.98,2.34,3.57,71.61,11.14,7.52,69.8,3.87,393.56,9.62,4.84,44.37,28.11,0.86,3.08,30.3,5.68,6.45,36.97,7.6,13.39,29.64,12.34,12.95,25.94,15.55,37.86,8.45,9.01,7.87,7.38,16.01,59.65,6.07,7.75,91.02,13.38,14.47,9.2,109.01,20.07,68.36,208.62,35.36,34.59,307.25,19.34,2.6,6.59,36.77,44.43,219.64,55.54,43.56,42.73,11.94,18.71,5.73,19.08,6,12.12,28.18,28.22,46.79,9,1.56,0.86,1.4,13.18,43.22,16.09,3.1,40.06,58.85,61.34,25.57,4.24,15.34,4.65,48.34,24.2,32.42,50.37,59,18.65,38.71,30.85,56.59,30.07,27.89,36.84,37.6,61.8,48.42,35.05,76.2,58.59,37.49,21.11,20.31,42.92,28.16,40.04,21.32,53.19,33.66,30.26,57.79,289.12,114.35,78.66,77.66,58.48,67.05,154.38,178,121.97,178,142.42
Total assets,Technology,11328,11328,11328,15002,15002,15002,15002,15002,15002,15002,15002,15002,15002,15002,15002,13182,13182,13182,13182,13182,13182,13182,13182,13182,13182,13182,13182,12714,12714,12714,12714,12714,12714,12714,12714,12714,12714,12714,12714,13607,13607,13607,13607,13607,13607,13607,13607,13607,13607,13607,13607,17319,17319,17319,17319,17319,17319,17319,17319,17319,17319,17319,17319,19036,19036,19036,19036,19036,19036,19036,19036,19036,19036,19036,19036,34680,34680,34680,34680,34680,34680,34680,34680,34680,34680,34680,34680,41458,41458,41458,41458,41458,41458,41458,41458,41458,41458,41458,41458,118213,118213,118213,118213,118213,118213,118213,118213,118213,118213,118213,118213,118213,118213,118213,118213,95139,95139,95139,95139,95139,95139,95139,95139,95139,95139,95139,95139,134269,134269,134269,134269,134269,134269,134269,134269,134269,134269,134269,134269,164172,164172,164172,164172,164172,164172,164172,164172,164172,164172,164172,164172,178723,178723,178723,178723,178723,178723
Net sales,Technology,21882,21882,21882,26903,26903,26903,26903,26903,26903,26903,26903,26903,26903,26903,26903,28790,28790,28790,28790,28790,28790,28790,28790,28790,28790,28790,28790,30353,30353,30353,30353,30353,30353,30353,30353,30353,30353,30353,30353,31853,31853,31853,31853,31853,31853,31853,31853,31853,31853,31853,31853,34398,34398,34398,34398,34398,34398,34398,34398,34398,34398,34398,34398,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,57650,57650,57650,57650,57650,57650,57650,57650,57650,57650,57650,57650,74865,74865,74865,74865,74865,74865,74865,74865,74865,74865,74865,74865,149240,149240,149240,149240,149240,149240,149240,149240,149240,149240,149240,149240,149240,149240,149240,149240,173533,173533,173533,173533,173533,173533,173533,173533,173533,173533,173533,173533,219614,219614,219614,219614,219614,219614,219614,219614,219614,219614,219614,219614,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402,303402
common equity,Technology,6389,6389,6389,11012,11012,11012,11012,11012,11012,11012,11012,11012,11012,11012,11012,8221,8221,8221,8221,8221,8221,8221,8221,8221,8221,8221,8221,10568,10568,10568,10568,10568,10568,10568,10568,10568,10568,10568,10568,10253,10253,10253,10253,10253,10253,10253,10253,10253,10253,10253,10253,13379,13379,13379,13379,13379,13379,13379,13379,13379,13379,13379,13379,15943,15943,15943,15943,15943,15943,15943,15943,15943,15943,15943,15943,27380,27380,27380,27380,27380,27380,27380,27380,27380,27380,27380,27380,31344,31344,31344,31344,31344,31344,31344,31344,31344,31344,31344,31344,42679,42679,42679,42679,42679,42679,42679,42679,42679,42679,42679,42679,42679,42679,42679,42679,48152,48152,48152,48152,48152,48152,48152,48152,48152,48152,48152,48152,70161,70161,70161,70161,70161,70161,70161,70161,70161,70161,70161,70161,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234,92234
Turnover ratio,Technology,0%,0.02%,0%,0.04%,0%,0.16%,0%,0.14%,0.01%,0.01%,0.02%,0%,0%,0%,0%,0.01%,0.03%,0%,0.01%,0%,0.01%,0.01%,0.02%,0%,0%,0.01%,0.07%,0.02%,0.01%,0.01%,0.01%,0%,0.36%,0.29%,0%,0%,0%,0.02%,0.13%,0%,0%,0.08%,0.01%,0.01%,0.08%,0%,0.47%,0.01%,0.01%,0.05%,0.03%,0%,0%,0.04%,0.01%,0.01%,0.04%,0.01%,0.02%,0.03%,0.01%,0.02%,0.03%,0.02%,0.04%,0.01%,0.01%,0.01%,0.01%,0.02%,0.07%,0.01%,0.01%,0.1%,0.02%,0.02%,0.01%,0.12%,0.02%,0.08%,0.24%,0.04%,0.04%,0.35%,0.02%,0%,0.01%,0.04%,0%,0.23%,0.06%,0.04%,0.04%,0.01%,0.02%,0.01%,0%,0%,0%,0%,0%,0.05%,0.01%,0%,0%,0%,0.01%,0.04%,0.02%,0%,0.04%,0.06%,0.06%,0.03%,0%,0.02%,0%,0.05%,0.02%,0.03%,0.05%,0.06%,0.02%,0.04%,0.03%,0.06%,0.03%,0.03%,0.04%,0.04%,0.06%,0.05%,0.04%,0.07%,0.05%,0.03%,0.02%,0.02%,0.04%,0.03%,0.04%,0.02%,0.05%,0.03%,0.03%,0.05%,0.26%,0.1%,0.07%,0.07%,0.05%,0.06%,0.14%,0.16%,0.11%,0.16%,0.13%
Return monthly,Technology,,0.176727029,-0.249928755,-0.333586626,0.40022805,0.285830619,-0.166561115,-0.53343465,1.143322476,0,0,0.399696049,-0.047502714,-0.100028498,0.111146295,0,0.649757766,0,-0.09086198,-0.333269998,0,0.249928755,0.399908801,-0.142833876,-0.166634999,0.08002736,-0.185138273,0,-0.090932642,0.299800513,0.25279544,-0.233286664,0.304268432,-0.099929996,-0.074081276,0,0.240025199,-0.225910246,0.041785167,0.199916002,-0.133356668,0.384693053,0.115939915,0.162179822,-0.232654897,0.06066823,0,0,0.057198121,0.053972818,-0.102541847,-0.057198121,0.06066823,0.428571429,0.085686654,-0.159985747,0.190455992,0.100035632,0.054579318,-0.103509176,-0.038458244,0.180028505,0.1016834,0,0.1077155,-0.027774341,-0.173061017,0.090867123,-0.083298067,0,0,0.018158036,0.071412378,0.299971787,-0.153816939,0.03026417,0.029437391,0.199987909,-0.01088216,-0.113940814,-0.014313635,0.028984662,0.014112446,-0.069468507,0.119459459,-0.306668813,0.057649153,-0.090869183,-0.100032191,0.466690512,-0.283258139,0.25,-0.018237496,-0.037013932,-0.076945224,0.104179663,0,-0.094350282,-0.020820337,-0.042526081,-0.088912917,0.414643053,-0.157589055,-0.042515704,0,-0.177774222,0.216210957,-0.288903112,0.25,-0.050045005,0.105268145,0.071495928,0.111048884,-0.139987038,0.13957967,0.020352682,-0.08000288,0.195679399,0.028083268,0.037695002,0.109099834,0.114799447,0.10292804,-0.133324334,0.076891127,0,0,0.071449233,-0.146688265,0.015661253,0.091843622,0,0.455872563,0.060619917,-0.038093185,-0.009924446,0.140011641,-0.035086226,0.109086099,-0.016379539,0.025005389,0.304022082,-0.045156738,-0.081093635,0.058841099,0.083324292,0.615383075,-0.087292927,0.217381263,-0.035710699,-0.129627701,0.148933624,0.174067516,0.293740759,-0.009927619,0.090229093,0.126432887
