me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
Def tax,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price monthly,Fincials,9.6,10,9.9,11,12.8,11.25,11,11.5,11,14,14,13,12.5,10.7,10.8,10.8,11,12.5,13,10.55,9,9.5,9.5,10.6,13,11,11.2,11.2,12.1,12,12.35,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25
MV monthly,Fincials,510.01,531.26,525.95,584.38,680.01,597.67,584.38,610.95,584.38,743.76,743.76,674.87,648.91,555.47,560.66,560.66,571.04,648.91,674.87,547.68,467.22,493.17,493.17,550.28,674.87,571.04,581.42,581.42,628.15,622.95,641.12,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93,635.93
NOSH,Fincials,53126,53126,53126,53126,53126,53126,53126,53126,53126,53126,53126,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913,51913
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,,,,,,,,,,555469.1,560660.4,560660.4,571043,648912.5,674869,547682.15,467217,493173.5,493173.5,550277.8,674869,571043,581425.6,581425.6,628147.3,622956,641125.55,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25,635934.25
Debt equity,,,,,,,,,,,,,,,1.02495170298402,1.01546140943787,1.01546140943787,0.996998474720818,0.87735865775432,0.843614093994538,1.03952447601223,1.21855369132544,1.15441928651884,1.15441928651884,1.03462105867255,0.843614093994538,2.0755652376441,2.03850157268617,2.03850157268617,1.88687748876736,1.90260146784043,1.84868158818503,1.86377286645593,1.86377286645593,1.86377286645593,1.86377286645593,1.86377286645593,1.86377286645593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price Sales,,,,,,,,,,,,,,,9.83984517546191,9.93180634532604,9.93180634532604,10.1157286850543,11.4951462330162,11.9549520823369,9.70190342066571,8.2765052877717,8.73631113709235,8.73631113709235,9.74788400559777,11.9549520823369,1.77732232783681,1.80963727925202,1.80963727925202,1.95505456062049,1.93889708491288,1.99544824988951,1.9792907741819,1.9792907741819,1.9792907741819,1.9792907741819,1.9792907741819,1.9792907741819,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BV/MV,,,,,,,,,,,,,,,0.566346534847753,0.561102585451015,0.561102585451015,0.550900720260996,0.484792633829677,0.466146763297766,0.574398855248432,0.673323102541217,0.637885044512732,0.637885044512732,0.571689426685939,0.466146763297766,0.430969296532836,0.423273416237606,0.423273416237606,0.391790269575305,0.395055188488433,0.383859292458396,0.386992837702954,0.386992837702954,0.386992837702954,0.386992837702954,0.386992837702954,0.386992837702954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,493173.5,0,674869,0,581425.6,0,0,0,0,635934.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debt equity,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.15441928651884,0,0.843614093994538,0,2.03850157268617,0,0,0,0,1.86377286645593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price Sales,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8.73631113709235,0,11.9549520823369,0,1.80963727925202,0,0,0,0,1.9792907741819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV/MV,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.637885044512732,0,0.466146763297766,0,0.423273416237606,0,0,0,0,0.386992837702954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return monthly,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.259411362,0,0.018197388,0,0,0,0,-0.008009153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excess return,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-0.125067,0,0.142846862,0,-0.094118512,0,0,0,0,-0.103109153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.209,0,0.1915,0,0.2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
