Name,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,3759,3759,3759,3759,3759,3759,3759,3759,3759,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,-0.054791236,0.231831929,-0.2664393,0.7363703,-0.2931975,-0.2763194,-0.7623093,-0.683870864,-1.150651732,0.624859167,-0.2611584,-0.2797733,0.224256658,-0.2861769,0.383852564,1.134311364,0.729437313,-0.422444212,-0.2663675,-0.2617958,-0.060101748,-0.093216779,-0.141379179,-0.316194963,-0.2807242,-0.2786359,-0.63470465,-0.2590666,-0.0048687,-0.2458607,-0.2488389,-0.561388066,-0.181922,-0.243647116,-0.1468832,-0.1413827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta adj,Consumer Goods,1.5859,1.5163,1.2825,2.2911,2.2719,2.7825,2.6638,2.4811,2.8224,3.3553,3.9525,2.5168,2.6091,2.5255,2.5663,2.3537,2.3341,2.478,2.1927,2.4725,2.3666,2.364,2.342,2.855,2.8603,2.8734,2.8593,2.8697,2.5582,2.5249,2.4089,2.4403,1.6734,1.394,0.4504,0.8664,0.8029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Consumer Goods,0,0,1.43,0.09,1.1,0,0,1.95,1.82,25.98,13.74,35.82,5.01,0.05,0.22,2.25,5.53,30.24,2.18,7.1,1.71,2.73,1.55,7.75,0.14,0,0.03,3.75,4.62,0.76,0,0,1.09,0,0.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total assets,Consumer Goods,10876,10876,10876,10876,10876,10876,10876,10876,10876,9115,9115,9115,9115,9115,9115,9115,9115,9115,9115,9115,9115,11457,11457,11457,11457,11457,11457,11457,11457,11457,11457,11457,11457,11457,11457,11457,11457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,13846,13846,13846,13846,13846,13846,13846,13846,13846,14857,14857,14857,14857,14857,14857,14857,14857,14857,14857,14857,14857,13988,13988,13988,13988,13988,13988,13988,13988,13988,13988,13988,13988,13988,13988,13988,13988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,7117,7117,7117,7117,7117,7117,7117,7117,7117,5894,5894,5894,5894,5894,5894,5894,5894,5894,5894,5894,5894,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0%,0%,0%,0%,0%,0%,0%,0.01%,0.01%,0.07%,0.04%,0.1%,0.01%,0%,0%,0.01%,0.02%,0.09%,0.01%,0.02%,0%,0.01%,0%,0.02%,0%,0%,0%,0.01%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return monthly,Consumer Goods,,0.164335664,0.429429429,0,1,0,0,-0.5,-0.399159664,-0.832167832,0.979166667,0,0,0.505263158,0,0.664335664,1.399159664,1.001751313,-0.167104112,0,0,0.200630252,0.166229221,0.143285821,-0.031496063,0,0,-0.35501355,0,0.25,0,0,-0.359663866,0,-0.124671916,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
