me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
Def tax,Fincials,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,-1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price monthly,Fincials,0.17,0.14,0.13,0.17,0.22,0.21,0.16,0.11,0.16,0.21,0.12,0.15,0.12,0.13,0.1,0.14,0.1,0.07,0.08,0.06,0.08,0.06,0.09,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
MV monthly,Fincials,31.41,25.87,24.02,31.41,40.65,38.8,29.56,20.32,29.56,38.8,22.17,27.72,22.17,24.02,18.48,25.87,18.48,12.93,14.78,11.09,14.78,11.09,16.63,20.32,20.32,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17
NOSH,Fincials,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773,184773
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,40650.06,38802.33,29563.68,20325.03,29563.68,38802.33,22172.76,27715.95,22172.76,24020.49,18477.3,25868.22,18477.3,12934.11,14781.84,11086.38,14781.84,11086.38,16629.57,20325.03,20325.03,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76,22172.76
Debt equity,,,,,,2.47812672355219,2.59613275800706,3.40742424488426,4.95625344710438,3.40742424488426,2.59613275800706,4.54323232651235,3.63458586120988,4.54323232651235,4.19375291678063,5.45187879181482,3.89419913701059,5.45187879181482,7.78839827402117,6.81484848976853,21.8151461523058,16.3613596142293,21.8151461523058,14.5434307682039,11.8991706285304,11.8991706285304,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,10.9075730761529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price Sales,,,,,,1.43528211284514,1.37004201680672,1.04384153661465,0.717641056422569,1.04384153661465,1.37004201680672,0.782881152460984,0.978601440576231,0.782881152460984,0.8481212484994,0.652400960384154,0.913361344537815,0.652400960384154,0.456680672268908,0.521920768307323,0.348617339077387,0.46482311876985,0.348617339077387,0.522926008616081,0.639131788308544,0.639131788308544,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,0.697234678154775,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BV/MV,,,,,,0.712717275202054,0.746656193068818,0.979986253402824,1.42543455040411,0.979986253402824,0.746656193068818,1.30664833787043,1.04531867029635,1.30664833787043,1.20613692726501,1.56797800544452,1.11998428960323,1.56797800544452,2.23996857920645,1.95997250680565,2.11286281004259,1.58464710753194,2.11286281004259,1.40857520669506,1.1524706236596,1.1524706236596,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,1.0564314050213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,,38802.33,29563.68,20325.03,29563.68,38802.33,22172.76,27715.95,22172.76,0,18477.3,25868.22,18477.3,12934.11,14781.84,11086.38,14781.84,0,0,20325.03,20325.03,22172.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debt equity,,,,,,,2.59613275800706,3.40742424488426,4.95625344710438,3.40742424488426,2.59613275800706,4.54323232651235,3.63458586120988,4.54323232651235,0,5.45187879181482,3.89419913701059,5.45187879181482,7.78839827402117,6.81484848976853,21.8151461523058,16.3613596142293,0,0,11.8991706285304,11.8991706285304,10.9075730761529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price Sales,,,,,,,1.37004201680672,1.04384153661465,0.717641056422569,1.04384153661465,1.37004201680672,0.782881152460984,0.978601440576231,0.782881152460984,0,0.652400960384154,0.913361344537815,0.652400960384154,0.456680672268908,0.521920768307323,0.348617339077387,0.46482311876985,0,0,0.639131788308544,0.639131788308544,0.697234678154775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV/MV,,,,,,,0.746656193068818,0.979986253402824,1.42543455040411,0.979986253402824,0.746656193068818,1.30664833787043,1.04531867029635,1.30664833787043,0,1.56797800544452,1.11998428960323,1.56797800544452,2.23996857920645,1.95997250680565,2.11286281004259,1.58464710753194,0,0,1.1524706236596,1.1524706236596,1.0564314050213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return monthly,,,,,,,-0.045504286,-0.23808159,-0.312476489,0.454495714,0.312476489,-0.428585077,0.249958201,-0.199973248,0,-0.230864198,0.400080257,-0.285755231,-0.299959872,0.142734308,-0.249811889,0.332998997,0,0,0.222246991,0,0.09082619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excess return,,,,,,,-0.185082586,-0.37448429,-0.456156789,0.328311414,0.192373289,-0.559343377,0.132200401,-0.328880448,0,-0.368096498,0.256792257,-0.415014931,-0.425149972,0.002785008,-0.389120989,0.190197597,0,0,0.079728891,-0.1402651,-0.00887381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta,,,,,,,0.3441,0.4429,0.5981,0.3061,0.2064,0.4041,0.2406,0.2144,0,0.2021,0.176,0.1819,0.1427,0.3611,0.4557,0.4778,0,0,0.5987,0.5677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
