me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,4993,4993,4993,4993,4993,4993,4993,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2793,2793,2793,2793,2793,2793,2793,2793,2793,2793,2793,2793,609,609,609,609,609,609,609,609,609,609,609,609,208,208,208,208,208,208,208,208,208,208,208,208,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426,605,605,605,605,605,605,605,605,605,605,605,605,12490,12490,12490,12490,12490,12490,12490,12490,12490,12490,12490,12490,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,24629,521523,521523,521523,521523,521523,521523,521523,521523,521523,521523,521523,521523,565486,565486,565486,565486,565486,565486,565486,565486,565486,565486,565486,565486,555019,555019,555019,555019,555019,555019,555019,555019,555019,555019,555019,555019
Excess return,Fincials,,-0.256380952,-0.311031095,-0.292214507,-0.2333267,-0.133753115,-0.244348807,-0.1785445,-0.069007466,0.079759714,-0.18858156,-0.091680961,-0.054839335,-0.160778433,-0.138443551,-0.121271786,-0.107844316,-0.226813287,-0.1350038,-0.055690367,-0.054536008,-0.204136128,0.113291325,-0.423488985,-0.060460629,-0.1144924,-0.27146928,-0.154652723,-0.083360032,0.278252781,-0.11239929,-0.199755427,-0.1493649,-0.382911903,-0.200853199,-0.1541597,0.249628893,-0.204674441,-0.1553336,-0.1573564,-0.1618841,-0.1863688,-0.298651402,-0.1815986,-0.1651115,-0.697554255,-0.1714367,-0.1537241,-0.1516876,-0.1474651,-0.1612066,-0.272601362,0.157908544,-0.1122665,-0.1103038,-0.0978748,-0.359298915,0.649286178,-0.710224215,0.414584011,-0.168946614,-0.075049585,1.827148052,-0.491926134,0.147224937,0.0064168,1.489213138,-0.076766269,-0.0255007,-0.0122277,-0.0124423,-0.0073911,-0.0051708,-0.008384,-0.038956666,-0.525810367,0.054731,0.147292739,0.0377107,-0.119354009,0,0,0,0,0,-0.0149375,-0.0400482,-0.0164745,-0.0191024,-0.0383552,-0.0609615,-0.0621381,-0.0771537,-0.1372924,-0.1292884,-0.1214387,-0.134349,-0.1561663,-0.1663813,-0.1709328,-0.1607122,-0.164772,-0.1600219,-0.1784126,-0.1791189,-0.1791722,-0.1794296,-0.72994477,-0.254006748,-0.180047,-0.272094514,0.082588601,-0.41565609,-0.655516099,-0.1950972,-0.1845671,1.115738379,0.960178871,0.145862525,-0.177929,-0.261560182,-0.212743969,-0.698022283,0.114503152,-0.466112566,0.152896317,-0.1309604,1.186381836,-0.241061034,-0.538151012,0.289250975,-0.430531918,-0.416620509,-0.1623408,-0.273595399,-0.092786454,-0.075341728,-0.29248613,0.11343668,-0.466577381,-0.238693216,-0.0843002,-0.237959971,-0.0932143,-0.0728163,-0.526795499,0.267926079,1.128787058,-0.672881768,-0.576872554,-0.23700072,-0.214736341,-0.1228992,0.271521579,-0.259430463,-0.013999295,0.204769114
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,1.6736,1.7551,1.6399,1.7082,1.7909,1.3098,1.1643,1.1515,0.8803,0.5178,0.5283,0.3281,0.3346,0.3174,0.2978,0.2844,0.287,0.3128,0.2826,0.2395,0.2635,0.2378,0.2049,0.1746,0.1829,0.2348,0.239,0.2331,0.6046,0.6098,0.5714,0.557,0.8423,0.7646,0.7577,0.9819,0.9459,0.9693,0.9672,0.9628,0.9807,1.3376,1.3339,1.2222,0.9605,1.0088,1.0609,1.0607,1.1252,1.0677,1.3382,1.0145,0.4436,0.4455,0.4826,0.2996,0.571,1.0548,0.7773,0.7348,0.7062,-0.8238,-1.0583,-1.158,-1.0718,-1.3336,-1.1881,-1.2017,-0.9711,-1.0821,-1.0779,-1.1303,-1.1584,-1.082,-1.7592,-2.1517,-2.137,-1.9236,-1.9589,,,,,,-5.9372,-1.1875,-0.8286,-1.2385,-1.2952,-1.0896,-0.4895,-0.4613,-0.1801,0.7348,0.7268,0.7649,0.873,1.1201,1.2751,1.3656,1.1494,1.194,1.1313,1.4502,1.4503,1.4194,1.4092,1.3929,1.3762,1.469,1.645,1.6733,1.8164,1.7957,1.7944,1.6717,2.1942,1.6546,1.6629,1.533,0.7968,1.0955,1.0424,1.0757,1.0696,1.1241,0.7708,0.4662,0.8856,1.4029,1.3703,1.6067,1.4172,1.3316,1.3285,1.247,0.899,0.8497,2.4316,2.3676,0.6304,0.2754,0.277,0.4661,0.1201,0.1295,0.0063,0.9688,-0.0706,0.1294,0.9274,0.9333,0.7484,-0.2222,-0.2495,-0.5377,
VO monthly avg,Fincials,0,0.01,0.07,0.01,0.02,0.01,0.04,0.01,0.01,0.02,0.13,0.07,0.01,0,0,0.01,0.01,0,0.01,0,0,0.02,0.01,0.01,0,0,0,0.07,0.24,0.52,0.11,0.02,0,0.1,0.09,0.04,0.02,0.02,1.37,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0.01,0.03,0.04,2.02,0.02,0,0.42,0.58,0.64,0.55,0.71,0.07,0.33,0,0,0,0,0,0.19,0.02,0,0,0.36,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.25,0.32,0.33,2.91,0.1,0.03,0.03,0.02,0,0.1,1.45,0.36,0.01,0.28,0.23,0.13,0.18,0.03,0.17,0.11,0.63,1.13,0.87,0.2,0.26,1.39,0.36,0.49,0.82,0.06,0.17,0.06,0.3,0.35,0.04,0.04,0.04,0.01,0.07,0.02,0.26,4.3,0.84,0.14,2.22,0.04,0.18,0.49,0.77,0.27
Total assets,Fincials,16571,16571,16571,16571,16571,16571,16571,16510,16510,16510,16510,16510,16510,16510,16510,16510,16510,16510,16510,17367,17367,17367,17367,17367,17367,17367,17367,17367,17367,17367,17367,17038,17038,17038,17038,17038,17038,17038,17038,17038,17038,17038,17038,12358,12358,12358,12358,12358,12358,12358,12358,12358,12358,12358,12358,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,113,113,113,113,113,113,113,113,113,113,113,113,95193,95193,95193,95193,95193,95193,95193,95193,95193,95193,95193,95193,174048,174048,174048,174048,174048,174048,174048,174048,174048,174048,174048,174048,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,478807,1106123,1106123,1106123,1106123,1106123,1106123,1106123,1106123,1106123,1106123,1106123,1106123,1036392,1036392,1036392,1036392,1036392,1036392,1036392,1036392,1036392,1036392,1036392,1036392,1009070,1009070,1009070,1009070,1009070,1009070,1009070,1009070,1009070,1009070,1009070,1009070
Net sales,Fincials,10710,10710,10710,10710,10710,10710,10710,12729,12729,12729,12729,12729,12729,12729,12729,12729,12729,12729,12729,13521,13521,13521,13521,13521,13521,13521,13521,13521,13521,13521,13521,13760,13760,13760,13760,13760,13760,13760,13760,13760,13760,13760,13760,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,38525,542788,542788,542788,542788,542788,542788,542788,542788,542788,542788,542788,542788,1471972,1471972,1471972,1471972,1471972,1471972,1471972,1471972,1471972,1471972,1471972,1471972,902528,902528,902528,902528,902528,902528,902528,902528,902528,902528,902528,902528
common equity,Fincials,11398,11398,11398,11398,11398,11398,11398,13336,13336,13336,13336,13336,13336,13336,13336,13336,13336,13336,13336,14598,14598,14598,14598,14598,14598,14598,14598,14598,14598,14598,14598,14245,14245,14245,14245,14245,14245,14245,14245,14245,14245,14245,14245,11749,11749,11749,11749,11749,11749,11749,11749,11749,11749,11749,11749,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,-1313,-1313,-1313,-1313,-1313,-1313,-1313,-1313,-1313,-1313,-1313,-1313,94588,94588,94588,94588,94588,94588,94588,94588,94588,94588,94588,94588,86558,86558,86558,86558,86558,86558,86558,86558,86558,86558,86558,86558,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,302756,504133,504133,504133,504133,504133,504133,504133,504133,504133,504133,504133,504133,402867,402867,402867,402867,402867,402867,402867,402867,402867,402867,402867,402867,391900,391900,391900,391900,391900,391900,391900,391900,391900,391900,391900,391900
Turnover ratio,Fincials,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,-0.022209652,-0.090917395,-0.062497907,0,0.066664285,-0.062497907,0,0.093351434,0.219481114,-0.04999866,0.031589339,0.081640465,-0.018882233,0.004817849,0.028845414,0.028036684,-0.090906887,0,0.069998133,0.074764492,-0.077354728,0.238100025,-0.307689185,0.055562071,0,-0.15791228,-0.041067423,0.052629768,0.412470181,0.01769891,-0.069564427,0,-0.240642103,-0.062518099,0,0.400020593,-0.047608541,0,0,0,0,-0.110015702,0,0,-0.529399855,0,0,0,0,0,-0.122487862,0.269155344,0,0,0,-0.242425915,0.796838578,-0.580654315,0.538476411,-0.049956014,-0.052648985,1.833275152,-0.490180134,0.153801537,0,1.500062838,-0.066673369,0,0,0,0,0,0,-0.071436266,-0.584617467,0,0.111105939,0,-0.033304009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55174207,-0.076856148,0,-0.083359514,0.272706501,-0.21427289,-0.454586999,0,0,1.333472979,1.142818671,0.333375225,0,-0.125011782,-0.057127469,-0.545451083,0.266672252,-0.315827766,0.307714617,0,1.294152436,-0.102568234,-0.371418312,0.454529875,-0.250009818,-0.249986909,0,-0.111149899,0.062524546,0.058845272,-0.16665503,0.33327748,-0.249968581,-0.133378016,0,-0.153808971,0,0,-0.454586999,0.333472979,1.249921458,-0.605529568,-0.492920354,-0.10017452,-0.074088441,0,0.333472979,-0.195098963,0.031225605,0.204769114
