Name,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,28040,28040,28040,28040,28040,28040,28040,26108,26108,26108,26108,26108,26108,26108,26108,26108,26108,26108,26108,36021,36021,36021,36021,36021,36021,36021,36021,36021,36021,36021,36021,29654,29654,29654,29654,29654,29654,29654,29654,29654,29654,29654,29654,25683,25683,25683,25683,25683,25683,25683,25683,25683,25683,25683,25683,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,29453,29453,29453,29453,29453,29453,29453,29453,29453,29453,29453,29453,37101,37101,37101,37101,37101,37101,37101,37101,37101,37101,37101,37101,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,51161,51161,51161,51161,51161,51161,51161,51161,51161,51161,51161,51161,53773,53773,53773,53773,53773,53773,53773,53773,53773,53773,53773,53773,45444,45444,45444,45444,45444,45444,45444,45444,45444,45444,45444,45444,48153,48153,48153,48153,48153,48153,48153,48153,48153,48153,48153,48153,,,,,,
Excess return,Consumer Goods,,-0.117878763,-0.1647367,-0.1565862,-0.129394391,-0.203105787,-0.210225271,-0.1374622,-0.095785728,-0.259455991,-0.139824,-0.1358325,-0.010428994,-0.1567957,-0.1597044,-0.1682612,-0.216087226,0.016314915,-0.1383113,0.040044406,-0.1289414,-0.152453259,-0.128091,-0.074653471,-0.1245466,-0.1198726,-0.1200397,-0.1204775,-0.1200949,-0.11722,-0.1152869,-0.1154175,-0.1086417,0.021082033,-0.1028535,-0.029298157,-0.1008422,0.002286062,-0.005594675,-0.1084054,-0.1103186,-0.1209307,-0.032205165,-0.135389047,-0.181240093,-0.294566971,-0.056979771,-0.027491061,-0.0874213,-0.085492,-0.0732523,0.073009108,-0.0765275,-0.0780134,0.107711907,-0.0776707,-0.0807236,-0.0819946,-0.080537,-0.0833267,0.066085801,-0.034603019,-0.0818909,-0.0820143,-0.0825735,-0.090608591,-0.362432391,-0.005880286,-0.1021717,-0.0974415,-0.097423,-0.0953076,-0.071358345,-0.0942026,-0.144088116,-0.1019941,-0.1052197,-0.1111639,-0.1118891,-0.1120375,-0.1110134,-0.057817399,-0.1137047,-0.0962521,-0.074734126,-0.1049582,-0.097353,0.058350296,-0.1050029,-0.1130102,-0.032585727,-0.1036236,-0.0748668,0.249880733,-0.050924874,-0.0655262,-0.048253848,-0.0833572,-0.0853822,-0.0840747,-0.0773128,-0.347172984,-0.0880003,0.11373775,-0.0858285,-0.0881309,-0.088571,-0.058703761,-0.088124184,-0.0813701,-0.0815153,-0.0810208,-0.0846253,-0.0858218,-0.0799836,-0.062903784,-0.0967431,-0.096796,-0.1011523,-0.0998594,-0.074113501,-0.1039565,-0.1042628,-0.1017691,-0.1235224,-0.1243011,-0.1061447,-0.1022014,-0.0712718,0.543391861,-0.0699914,-0.0722881,-0.046482601,-0.0678156,-0.0197589,-0.0669787,-0.0635073,-0.007088949,-0.0365612,-0.0370903,-0.0281969,-0.0287531,-0.0282826,-0.0235804,0.065269164,-0.105302277,-0.0200735,-0.0194398,-0.0400669,-0.0514253,-0.0454573,-0.1737624,-0.0876255,-0.085652,-0.0961591,-0.237537043,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.8289,0.8427,0.7609,0.5474,0.5824,0.4939,0.4809,0.4994,0.5567,0.5505,0.548,0.5275,0.5216,0.5539,0.5588,0.5724,0.568,0.5418,0.3351,0.3301,0.2578,0.2578,0.257,0.3152,0.3182,0.3202,0.3419,0.3425,0.3523,0.34,0.3363,0.3225,0.1959,0.1954,0.1945,0.1266,0.1594,0.1644,0.1776,0.1858,0.1622,0.2989,0.2938,0.2241,0.1405,0.1295,0.1259,0.126,0.1051,0.084,-0.0579,-0.0205,-0.1075,-0.0982,-0.092,-0.0211,-0.0028,0.0142,-0.001,0.0909,0.1372,0.1468,0.1443,0.1161,0.1345,0.1853,0.1752,0.1744,0.2459,0.2705,0.271,0.2652,0.2626,0.2802,0.3822,0.4007,0.4019,0.4153,0.4157,0.4125,0.4518,0.4658,0.4469,0.1667,0.1862,0.2414,0.081,0.066,0.0683,0.0954,0.194,0.1972,-0.2164,-0.1198,-0.1203,-0.1226,-0.1065,-0.0356,-0.0106,-0.0131,-0.1744,-0.1693,-0.0119,-0.0124,-0.0305,-0.0257,-0.033,-0.0454,-0.0546,-0.0973,-0.0569,-0.0584,-0.0369,-0.0314,-0.0328,0.2697,0.2737,0.292,0.2921,0.2938,0.2836,0.2755,0.2756,0.2757,0.6448,0.6397,0.3769,0.3778,-0.1814,-0.1402,-0.1422,-0.1113,-0.1513,-0.1688,-0.1428,-0.1551,-0.2229,-0.2792,-0.4776,-0.4819,-0.5937,-0.6063,-0.6098,-0.6392,-0.7731,-0.7057,-0.7155,-0.6454,-0.5037,-0.3869,-0.5229,-0.5252,0.1885,0.154,0.2557,0.2473,
VO monthly avg,Consumer Goods,0,0.03,0.25,0,0.02,0.03,0.04,0,0.05,0.13,0,0.02,0.35,0.05,0.12,0,0.02,0.02,0,0.02,0,0,0.11,0,0,0.02,0,0,0,0.01,0.01,0,0,0.22,0,0,0,0.1,4.7,0.21,0,0,3.56,0.12,0.1,0.07,0.07,0,0.38,0,0,0,0,0,0.23,0,0.05,0.24,0,0,0.02,0.6,0,0,0.19,0.35,0,0.53,0,0,0,0,0,0,0,0,0,0.05,0,0,0,13.37,0,0,0,0,0,0.25,0,0,0.1,0,0,0.14,0.04,0,0,0,0,0,0,0.25,0,0.21,0.04,0.03,0,0.15,0,0,0,0,0,0,0,0.07,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.07,0,0,0,0,0,0,0.15,0.1,0,0,0.11,0,0.1,0,0,0,0,0,0,0,0.03,0
Total assets,Consumer Goods,189739,189739,189739,189739,189739,189739,189739,192185,192185,192185,192185,192185,192185,192185,192185,192185,192185,192185,192185,212903,212903,212903,212903,212903,212903,212903,212903,212903,212903,212903,212903,205340,205340,205340,205340,205340,205340,205340,205340,205340,205340,205340,205340,165528,165528,165528,165528,165528,165528,165528,165528,165528,165528,165528,165528,173553,173553,173553,173553,173553,173553,173553,173553,173553,173553,173553,173553,189189,189189,189189,189189,189189,189189,189189,189189,189189,189189,189189,189189,230523,230523,230523,230523,230523,230523,230523,230523,230523,230523,230523,230523,255973,255973,255973,255973,255973,255973,255973,255973,255973,255973,255973,255973,286035,286035,286035,286035,286035,286035,286035,286035,286035,286035,286035,286035,320715,320715,320715,320715,320715,320715,320715,320715,320715,320715,320715,320715,326195,326195,326195,326195,326195,326195,326195,326195,326195,326195,326195,326195,308617,308617,308617,308617,308617,308617,308617,308617,308617,308617,308617,308617,,,,,,
Net sales,Consumer Goods,281133,281133,281133,281133,281133,281133,281133,331347,331347,331347,331347,331347,331347,331347,331347,331347,331347,331347,331347,354764,354764,354764,354764,354764,354764,354764,354764,354764,354764,354764,354764,373612,373612,373612,373612,373612,373612,373612,373612,373612,373612,373612,373612,312569,312569,312569,312569,312569,312569,312569,312569,312569,312569,312569,312569,317570,317570,317570,317570,317570,317570,317570,317570,317570,317570,317570,317570,390594,390594,390594,390594,390594,390594,390594,390594,390594,390594,390594,390594,454126,454126,454126,454126,454126,454126,454126,454126,454126,454126,454126,454126,491023,491023,491023,491023,491023,491023,491023,491023,491023,491023,491023,491023,480850,480850,480850,480850,480850,480850,480850,480850,480850,480850,480850,480850,508078,508078,508078,508078,508078,508078,508078,508078,508078,508078,508078,508078,541310,541310,541310,541310,541310,541310,541310,541310,541310,541310,541310,541310,474438,474438,474438,474438,474438,474438,474438,474438,474438,474438,474438,474438,,,,,,
common equity,Consumer Goods,87412,87412,87412,87412,87412,87412,87412,90508,90508,90508,90508,90508,90508,90508,90508,90508,90508,90508,90508,97139,97139,97139,97139,97139,97139,97139,97139,97139,97139,97139,97139,98279,98279,98279,98279,98279,98279,98279,98279,98279,98279,98279,98279,77103,77103,77103,77103,77103,77103,77103,77103,77103,77103,77103,77103,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,87243,87243,87243,87243,87243,87243,87243,87243,87243,87243,87243,87243,106661,106661,106661,106661,106661,106661,106661,106661,106661,106661,106661,106661,116789,116789,116789,116789,116789,116789,116789,116789,116789,116789,116789,116789,129525,129525,129525,129525,129525,129525,129525,129525,129525,129525,129525,129525,146458,146458,146458,146458,146458,146458,146458,146458,146458,146458,146458,146458,153785,153785,153785,153785,153785,153785,153785,153785,153785,153785,153785,153785,142962,142962,142962,142962,142962,142962,142962,142962,142962,142962,142962,142962,,,,,,
Turnover ratio,Consumer Goods,0%,0%,0.02%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0.03%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0%,0%,0%,0.01%,0.38%,0.02%,0%,0%,0.28%,0.01%,0.01%,0.01%,0.01%,0%,0.03%,0%,0%,0%,0%,0%,0.02%,0%,0%,0.02%,0%,0%,0%,0.05%,0%,0%,0.02%,0.03%,0%,0.04%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.07%,0%,0%,0%,0%,0%,0.02%,0%,0%,0.01%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0.02%,0%,0.02%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0.01%,0.01%,0%,0%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,0.058811337,0,0,0.027796809,-0.054090087,-0.071428571,0,0.046186372,-0.117674491,0,0,0.137831806,0,0,0,-0.062503226,0.166648315,0,0.171440706,0,-0.024411859,0,0.050004129,0,0,0,0,0,0,0,0,0,0.127492233,0,0.070977643,0,0.108643262,0.099994125,0,0,0,0.090904235,-0.016670747,-0.067788593,-0.181808471,0.055551929,0.067346939,0,0,0,0.157917608,0,0,0.181815907,0,0,0,0,0,0.149229401,0.048945381,0,0,0,-0.001334691,-0.265694791,0.090906914,0,0,0,0,0.023335455,0,-0.041659516,0,0,0,0,0,0,0.052178001,0,0,0.023146474,0,0,0.157008296,0,0,0.071436273,0,0,0.333333333,0.024996226,0,0.024386652,0,0,0,0,-0.268288884,0,0.20000655,0,0,0,0.028886039,-0.001113984,0,0,0,0,0,0,0.033337316,0,0,0,0,0.030103299,0,0,0,0,0,0,0,0,0.612909261,0,0,0.021335499,0,0.0499947,0,0,0.047621451,0,0,0,0,0,0,0.081813864,-0.085711377,0,0,0,0,0,-0.125,0,0,0,-0.142857143,0
