me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
Def tax,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41489,-41489,-41489,-41489,-41489,-41489,-41489,-41489,-41489,-41489,-41489,-41489,-37764,-37764,-37764,-37764,-37764,-37764,-37764,-37764,-37764,-37764,-37764,-37764,-27784,-27784,-27784,-27784,-27784,-27784,-27784,-27784,-27784,-27784,-27784,-27784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price monthly,Industrials,0.6,0.6,0.6,0.65,0.7,1,1,1.5,1.6,1.7,1.4,1.7,1.7,1.65,1.7,1.2,1,1,1.2,1.2,1.5,1.6,1.2,1.2,1.3,1.3,1.35,1.25,1.2,1,1.1,1.1,1.25,1.1,1.24,1,1,1.4,1.6,1.5,1.5,1.5,1.45,1.45,1.65,1.5,1.7,1.5,1.35,1.35,1.35,1.41,1.41,1.2,1.1,1.3,1.3,0.75,0.4,0.35,0.5,0.35,0.26,0.2,0.15,0.2,0.2,0.17,0.18,0.14,0.17,0.15,0.15,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
MV monthly,Industrials,33.58,33.58,33.58,36.38,39.17,55.96,55.96,83.95,89.54,95.14,78.35,95.14,95.14,92.34,95.14,67.16,55.96,55.96,67.16,67.16,83.95,89.54,67.16,67.16,72.75,72.75,75.55,69.95,67.16,55.96,61.56,61.56,69.95,61.56,69.4,55.96,55.96,78.35,89.54,83.95,83.95,83.95,81.15,81.15,92.34,83.95,95.14,83.95,75.55,75.55,75.55,78.91,78.91,67.16,61.56,72.75,72.75,41.97,22.39,19.59,27.98,19.59,14.55,11.19,8.39,11.19,11.19,9.51,10.07,7.83,9.51,8.39,8.39,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72
NOSH,Industrials,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,39174.8,55964,55964,83946,89542.4,95138.8,78349.6,95138.8,95138.8,92340.6,95138.8,67156.8,55964,55964,67156.8,67156.8,83946,89542.4,67156.8,67156.8,72753.2,72753.2,75551.4,69955,67156.8,55964,61560.4,61560.4,69955,61560.4,69395.36,55964,55964,78349.6,89542.4,83946,83946,83946,81147.8,81147.8,92340.6,83946,95138.8,83946,75551.4,75551.4,75551.4,78909.24,78909.24,67156.8,61560.4,72753.2,72753.2,41973,22385.6,19587.4,27982,19587.4,14550.64,11192.8,8394.6,11192.8,11192.8,9513.88,10073.52,7834.96,9513.88,8394.6,8394.6,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68,6715.68
Debt equity,,,,,,3.88757568641065,2.72130298048746,2.72130298048746,1.81420198699164,1.70081436280466,1.60076645911027,1.94378784320533,1.60076645911027,1.60076645911027,1.64927453362876,1.60076645911027,2.26775248373955,1.99056536344793,1.99056536344793,1.65880446953994,1.65880446953994,1.32704357563195,1.24410335215496,1.65880446953994,1.65880446953994,1.53120412572918,1.53120412572918,1.47449286181328,1.59245229075834,2.1929722678865,2.6315667214638,2.39233338314891,2.39233338314891,2.10525337717104,2.39233338314891,2.12223122698693,2.6315667214638,2.6315667214638,1.87969051533128,1.64472920091487,1.7543778143092,1.02071569818693,1.02071569818693,1.05591279122786,1.05591279122786,0.927923361988118,1.02071569818693,0.900631498400232,1.02071569818693,1.13412855354103,1.13412855354103,1.13412855354103,1.08586776402865,1.38137181399796,1.6231118814476,1.77066750703374,1.49825712133624,1.49825712133624,2.59697901031616,4.86933564434279,5.56495502210605,3.89546851547423,5.56495502210605,7.49128560668122,9.73867128868558,18.2114692778691,13.6586019584018,13.6586019584018,16.0689434804727,15.1762243982243,19.5122885120026,16.0689434804727,18.2114692778691,18.2114692778691,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,22.7643365973364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price Sales,,,,,,0.270967117185663,0.387095881693804,0.387095881693804,0.580643822540706,0.619353410710086,0.658062998879467,0.541934234371325,0.658062998879467,0.658062998879467,0.638708204794776,0.658062998879467,0.464515058032565,0.389293117600412,0.389293117600412,0.467151741120494,0.467151741120494,0.583939676400618,0.622868988160659,0.467151741120494,0.467151741120494,0.506081052880535,0.506081052880535,0.525545708760556,0.486616397000515,0.29882129937394,0.249017749478284,0.273919524426112,0.273919524426112,0.311272186847855,0.273919524426112,0.308782009353072,0.249017749478284,0.249017749478284,0.348624849269597,0.398428399165254,0.373526624217426,0.349411030176899,0.349411030176899,0.337763995837669,0.337763995837669,0.384352133194589,0.349411030176899,0.395999167533819,0.349411030176899,0.314469927159209,0.314469927159209,0.314469927159209,0.328446368366285,0.345624745410825,0.294148719498574,0.269636326207026,0.318661112790122,0.318661112790122,0.183842949686609,0.0980495731661914,0.0857933765204175,0.122561966457739,0.0857933765204175,0.0637322225580244,0.0490247865830957,0.0668317304630278,0.0891089739507038,0.0891089739507038,0.0757426278580982,0.0801980765556334,0.0623762817654927,0.0757426278580982,0.0668317304630278,0.0668317304630278,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,0.0534653843704223,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BV/MV,,,,,,-1.05736340708823,-0.740154384961761,-0.740154384961761,-0.493436256641174,-0.462596490601101,-0.435384932330448,-0.528681703544115,-0.435384932330448,-0.435384932330448,-0.44857841512834,-0.435384932330448,-0.616795320801468,0.363519405331999,0.363519405331999,0.302932837776666,0.302932837776666,0.242346270221333,0.227199628332499,0.302932837776666,0.302932837776666,0.279630311793845,0.279630311793845,0.269273633579259,0.290815524265599,0.455843637576537,0.547012365091845,0.497283968265313,0.497283968265313,0.437609892073476,0.497283968265313,0.441139004106326,0.547012365091845,0.547012365091845,0.390723117922746,0.341882728182403,0.36467491006123,1.16305720344031,1.16305720344031,1.20316262424859,1.20316262424859,1.05732473040028,1.16305720344031,1.02622694421204,1.16305720344031,1.29228578160034,1.29228578160034,1.29228578160034,1.23729489727692,0.267940737992154,0.314830367140781,0.343451309608125,0.29061264659149,0.29061264659149,0.50372858742525,0.944491101422343,1.07941840162553,0.755592881137874,1.07941840162553,1.45306323295745,1.88898220284469,-6.18552402735092,-4.63914302051319,-4.63914302051319,-5.45781531825081,-5.15460335612576,-6.6273471721617,-5.45781531825081,-6.18552402735092,-6.18552402735092,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,-7.73190503418865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
