Name,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
Def tax,Basic Materials,,,,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,-3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price monthly,Basic Materials,2.5,2,2,1.7,1.45,1.5,1.3,0.97,1.25,1.2,1.2,1.25,1.41,1.6,1.6,1.1,1.2,1.65,1.65,2,1.95,1.9,2.3,2.1,2.01,2.05,2.05,1.99,1.7,1.5,1.35,1.35,1.37,1.1,1.31,1.2,1.5,2,2.2,2.15,2.3,0.5,0.25,0.35,0.38,0.35,0.33,0.45,0.65,0.54,0.48,0.41,0.37,0.3,0.37,0.56,0.61,0.6,0.49,0.45,0.41,0.39,0.38,0.35,0.4,0.39,0.31,0.25,0.34,0.28,0.26,0.26,0.22,0.24,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
MV monthly,Basic Materials,323.3,258.64,258.64,219.85,187.52,193.98,168.12,125.44,161.65,155.19,155.42,161.9,182.62,207.23,207.23,142.47,155.42,213.71,213.71,259.04,252.56,246.09,297.89,271.99,260.33,265.64,265.64,257.87,220.29,213.38,192.05,192.05,194.89,156.48,186.36,170.71,213.38,284.51,312.96,305.85,327.19,71.9,35.95,50.33,54.64,50.33,47.45,64.71,93.47,77.65,69.02,58.96,53.21,43.14,53.21,131.02,142.72,140.38,114.64,105.29,95.93,91.25,88.91,81.89,93.59,91.25,72.53,58.49,87.59,72.13,66.98,66.98,56.68,61.83,36.07,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49
NOSH,Basic Materials,129322,129322,129322,129322,129322,129322,129322,129322,129322,129322,129519,129519,129519,129519,129519,129519,129519,129519,129519,129519,129519,129519,129519,129519,129519,129581,129581,129581,129581,142256,142256,142256,142256,142256,142256,142256,142256,142256,142256,142256,142256,143798,143798,143798,143798,143798,143798,143798,143798,143798,143798,143798,143798,143798,143798,233968,233968,233968,233968,233968,233968,233968,233968,233968,233968,233968,233968,233968,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622,257622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,,,168118.6,125442.34,161652.5,155186.4,155422.8,161898.75,182621.79,207230.4,207230.4,142470.9,155422.8,213706.35,213706.35,259038,252562.05,246086.1,297893.7,271989.9,260333.19,265641.05,265641.05,257866.19,220287.7,213384,192045.6,192045.6,194890.72,156481.6,186355.36,170707.2,213384,284512,312963.2,305850.4,327188.8,71899,35949.5,50329.3,54643.24,50329.3,47453.34,64709.1,93468.7,77650.92,69023.04,58957.18,53205.26,43139.4,53205.26,131022.08,142720.48,140380.8,114644.32,105285.6,95926.88,91247.52,88907.84,81888.8,93587.2,91247.52,72530.08,58492,87591.48,72134.16,66981.72,66981.72,56676.84,61829.28,36067.08,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86,33490.86
Debt equity ratio,,,,,,,,0.103296125473327,0.138438106304458,0.10742797049226,0.111904135929437,0.111733928355428,0.107264571221211,0.0950927049833429,0.0838004462665709,0.0838004462665709,0.121891558205921,0.111733928355428,0.0812610388039476,0.171880713886134,0.14180158895606,0.145437527134421,0.149264830480064,0.123305729527009,0.135049132339105,0.141096108413991,0.13827682129701,0.13827682129701,0.142445971687874,0.166745578622865,0.172140366662918,0.191267074069908,0.125636827920036,0.123802713643831,0.154190652447316,0.129473066940495,0.14134143141004,0.113073145128032,0.0848048588460241,0.0770953262236582,0.0788882407869991,0.0737433555182818,0.335581857883976,0.671163715767952,0.479402654119966,0.441555076163126,0.479402654119966,0.508457360430267,0.372868730982196,0.258139890679982,0.310723942485163,0.349564435295808,0.40924616815119,0.175001494213166,0.215835176196238,0.175001494213166,0.0710643580074442,0.0652394106297849,0.0663267341402813,0.0812164091513649,0.0884356455203751,0.0970635133760214,0.102041129446587,0.10472642232676,0.113702972811911,0.0994901012104219,0.102041129446587,0.12837432414248,0.766156055528961,0.511625103263468,0.621259053962783,0.66904821195992,0.66904821195992,0.790693341407178,0.724802229623246,1.24251810792557,1.33809642391984,1.33809642391984,1.33809642391984,1.33809642391984,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,0.998630671174165,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,1.00982775599074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price Sales,,,,,,,,4.08649975692757,3.04915751093826,3.92932668935343,3.77215362177929,3.77789985415654,3.93531234807973,4.43903232863393,5.03719980554205,5.03719980554205,3.46307486631016,3.77789985415654,5.19461229946524,5.17386151797603,6.2713472945164,6.11456361215349,5.95777992979058,7.21204938869386,6.58491465924222,6.30270403098898,6.43120808618811,6.43120808618811,6.24297760561675,5.33319694952185,5.1660573780414,4.64945164023726,1.98232434273682,2.01169211077736,1.61522724223,1.92358880665573,1.76206608243273,2.20258260304091,2.93677680405454,3.23045448446,3.15703506435863,3.37729332466272,0.742152582086933,0.371076291043467,0.519506807460853,0.564035962386069,0.519506807460853,0.489820704177376,0.66793732387824,0.964798356713013,0.801524788653888,0.712466478803456,0.608565117311285,1.3788032548979,1.11794858505235,1.3788032548979,3.39540997201203,3.69857157665596,3.63793925572717,2.97098372551052,2.72845444179538,2.48592515808023,2.36466051622266,2.30402819529387,2.12213123250752,2.42529283715145,2.36466051622266,1.87960194879237,8.26041519559384,12.3699308007344,10.1870018358989,9.45935884762039,9.45935884762039,8.00407287106341,8.7317158593419,5.09350091794944,4.7296794238102,4.7296794238102,4.7296794238102,4.7296794238102,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,34.8137837837838,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BV/MV,,,,,,,,0.795688281962852,1.0663863572698,0.827515813241366,0.86199563879309,0.860684532771254,0.826257151460403,0.732497474698939,0.64551339957844,0.64551339957844,0.938928581205004,0.860684532771254,0.625952387470003,0.696900209095331,0.574942672503648,0.589684792311434,0.605202813161735,0.499950150003172,0.547564450003474,0.57208226119766,0.560651299940277,0.560651299940277,0.577555359234958,0.67607950875151,0.697952986165786,0.775503317961984,0.845507525296076,0.833164349744308,1.03766832649973,0.871324548969238,0.951195965958085,0.760956772766468,0.570717579574851,0.518834163249865,0.530900074023117,0.496276156152044,2.25839024186706,4.51678048373413,3.2262717740958,2.97156610771982,3.2262717740958,3.42180339676828,2.5093224909634,1.73722326297466,2.09110207580284,2.35248983527819,2.7541344413013,0.542314801205745,0.668854921487086,0.542314801205745,0.220222423579293,0.202171405253121,0.205540928674007,0.251682769804906,0.274054571565342,0.300791602937571,0.316216813344626,0.324538308432642,0.352355877726869,0.30831139301101,0.316216813344626,0.397821152272271,0.960951925049579,0.641706248141943,0.779214729886644,0.839154324493309,0.839154324493309,0.991727838037548,0.909083851534419,1.55842945977329,1.67830864898662,1.67830864898662,1.67830864898662,1.67830864898662,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.870715174229626,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0.267595397669693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
