me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
Def tax,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47456,47456,47456,47456,47456,47456,47456,47456,47456,47456,47456,47456,115807,115807,115807,115807,115807,115807,115807,115807,115807,115807,115807,115807,186824,186824,186824,186824,186824,186824,186824,186824,186824,186824,186824,186824,241712,241712,241712,241712,241712,241712,241712,241712,241712,241712,241712,241712,171045,171045,171045,171045,171045,171045,171045,171045,171045,171045,171045,171045,50867,50867,50867,50867,50867,50867,50867,50867,50867,50867,50867,50867,36730,36730,36730,36730,36730,36730,36730,36730,36730,36730,36730,36730,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Price monthly,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14,11.92,11.5,10.91,9.35,9.63,11.09,10.35,11.37,12.3,12.93,13.75,15.8,18.79,19.48,20.17,18.88,18.88,18.52,19.34,21.05,20.57,19.86,16.93,18.82,17.03,17.5,15.61,14.09,16.65,18.49,18.92,17.02,17.59,18.11,17.97,18.49,18.82,17.97,18.92,13.14,13.81,14.24,13.67,13.55,13.34,11.35,11.82,12.43,12.34,11.28,10.77,10.31,10.4,10.83,10.41,10.07,10.4,9.98,9.93,8.61,7.95,7.66,7.61,7.09,6.24,5.68,5,5,4.83,4.79,4.73,3.55,3.78,3.78,3.3,3.4,3.1,3.01,3,2.95,3.5,3.51,4.3,4.45,6.35,5,5.8,5.2,5.6,4.9,4.33,5.3,5.5,5.25
MV monthly,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.51,470.26,453.98,430.47,368.97,379.83,437.71,408.4,448.56,485.45,510.05,542.61,623.28,741.57,768.7,795.83,745.18,745.18,730.71,763.27,1370.4,1339.61,1293.41,1102.48,1225.66,1108.64,1139.43,1016.25,917.71,1084,1204.1,1231.82,1108.02,1145.59,1179.47,1170.23,1204.1,1225.66,1170.23,1231.82,855.5,899.23,926.95,889.99,882.6,868.43,757.34,788.9,829.29,823.61,752.3,718.85,687.92,694.23,775.52,745.72,945.31,976.37,936.43,931.99,807.73,745.59,718.97,714.53,665.71,585.82,532.57,469.55,469.55,453.57,449.13,443.81,332.85,355.05,355.05,309.67,424.19,386.76,375.53,374.28,368.05,436.66,437.91,536.47,555.19,792.23,623.81,795.98,713.64,768.53,672.46,594.24,727.36,754.81,720.5
NOSH,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,36174,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,61591,63112,63112,63112,63112,63112,63112,63112,63112,67731,67731,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,88761,93838,124761,124761,124761,124761,124761,124761,124761,124761,124761,124761,124761,137238,137238,137238,137238,137238,137238,137238,137238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402978.36,431194.08,416001,394658.34,338226.9,348355.62,401169.66,374400.9,411298.38,444940.2,467729.82,497392.5,571549.2,679709.46,704669.52,729629.58,682965.12,682965.12,669942.48,699605.16,1296490.55,1266926.87,1223197.26,1042735.63,1159142.62,1048894.73,1077842.5,961435.51,867817.19,1025490.15,1138817.59,1165301.72,1048278.82,1083385.69,1115413.01,1106790.27,1138817.59,1159142.62,1106790.27,1165301.72,809305.74,850571.71,877055.84,841948.97,834558.05,821623.94,716321.2,745983.84,784482.16,778802.08,711903.36,679716.24,650684.72,656364.8,733526.73,705079.71,893823.27,923114.4,885834.78,881396.73,764232.21,705649.95,679909.26,675471.21,629315.49,553868.64,504162.48,443805,443805,428715.63,425165.19,419839.53,315101.55,335516.58,335516.58,309665.4,424187.4,386759.1,375530.61,374283,368044.95,436663.5,437911.11,536472.3,555186.45,792232.35,623805,795980.4,713637.6,768532.8,672466.2,594240.54,727361.4,754809,720499.5
Debt equity,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0.866451261004237,0.800939092489283,0.761914217913239,0.716476424554049,0.623515875798619,0.524297543247375,0.505726429035841,0.488425921547753,0.521798243517912,0.521798243517912,0.531941189936187,0.509387323558334,0.370704591714918,0.379354966242053,0.392917001792499,0.460917404347255,0.414629737279438,0.458210901679333,0.44590466603423,0.499893123356761,0.553820557530095,0.468668567903846,0.422029835348785,0.412438248181767,0.552067817224429,0.534178183579294,0.518840102107111,0.522882262056749,0.508177082161156,0.499266431942603,0.522882262056749,0.49662760302113,0.715083276191764,0.680390604573481,0.659845101766839,0.687358759997058,1.73707988317889,1.76442521867121,2.02380440506298,1.94333164107147,1.8479629925555,1.86144084258224,2.03636347495256,2.1327929431258,2.22795150314887,2.20867115360239,1.97633425028697,2.0560710788288,1.94868500123072,1.88685172715321,1.96625831286507,1.97615890859954,2.27912403744406,2.46833433489225,2.56178302381115,2.57861471253527,2.76773737128257,3.14475287858868,3.45479893704109,3.92465159247868,4.41935985398993,4.57490668114899,4.61311049477028,4.67162775263206,6.22445049857736,5.84571409257927,5.84571409257927,6.33372020251536,4.62374412818485,5.07120323736403,5.22283389894635,5.24024334527617,9.95365919298716,8.38951274837489,8.36561100265303,6.82867316728189,6.59849317287913,4.62414088493104,5.87265892386243,4.6023670934611,5.13340945039891,4.76673734679899,5.44769982491313,6.16483352010955,5.61230359488419,5.4082198277975,5.66575410531166
Price Sales,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.39898672656729,9.08597508678783,9.55135429855013,10.1570859710027,11.671415152134,13.8801196651011,14.389820706555,14.899521748009,13.9466024096386,13.9466024096386,13.6806714314887,14.2864031039412,9.10514393465879,8.89752070004425,8.59041133217689,7.32304450421726,8.14056099051204,7.36629934476196,7.56959709532204,6.75208060902726,6.09460703274786,7.20193095069211,7.99782001671454,8.18381583105674,5.22587325642841,5.40088781319481,5.5605502158589,5.51756418437241,5.6772265870365,5.77855080411179,5.51756418437241,5.80925511231642,4.03454609808868,4.24026496305971,4.37229348833963,4.19727893157323,3.18632115272279,3.1369390536769,2.73489590293182,2.84814709891226,2.99513269369538,2.97344629446508,2.71802870353048,2.59513910789213,2.48429751182618,2.50598391105647,2.80058617358802,2.69197618347657,3.36593210318207,3.47623573714931,3.33584929391828,3.31913662210506,2.87792208623611,2.65731481830164,2.56038132178497,2.54366864997176,2.36985686311429,2.08574144228959,1.89855951798155,1.67126718132179,1.60011609544343,1.54571214819836,1.53291121943481,1.51370982628949,1.13608242776484,1.20968776815524,1.20968776815524,1.1164826686088,1.52938584789334,1.3944400377851,1.35395629475263,1.34945810108236,1.16486140475256,1.38203895479117,1.38598763751915,1.69793357302916,1.75716381394878,2.50741353226399,1.97434136398739,2.51927610173568,2.25866133259061,2.43240451202066,2.12835394801808,1.88076991733026,2.04290898264811,2.1199998876537,2.02363625639672
BV/MV,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,2.00921773628187,1.8573012732947,1.76680631566318,1.66144041174726,1.44587377604588,1.21579593728179,1.17273129679286,1.13261307196454,1.2100002998689,1.2100002998689,1.23352082405642,1.18122056160935,0.940398678571163,0.962342838304471,0.996746837055538,1.1692493906629,1.05182742741355,1.16238356922625,1.13116526765274,1.26812249736854,1.40492492433804,1.18891244347886,1.07059990178058,1.04626808583102,1.84006579470908,1.78043887583562,1.72931639016834,1.742789083247,1.69377608577332,1.66407650509823,1.742789083247,1.65528117473301,2.38340333530811,2.26777116770084,2.19929212260875,2.29099632962316,2.35714819358581,2.3942547243694,2.74622194624423,2.6370236116643,2.50761215525921,2.52590106076758,2.76326410371205,2.89411505012739,3.02324142481784,2.99707875864154,2.68180683749589,2.7900065369914,1.97665809260034,1.91393721081591,1.99448366658171,2.0045263839361,2.31184053338971,2.50376691729377,2.59855704862734,2.61563035380886,2.80746784097115,3.18989535135985,3.5043920761418,3.98098939849709,4.97035635019885,5.14529642877728,5.18826341356874,5.25407648012563,7.00050190168852,6.57454543677096,6.57454543677096,7.12339512260653,5.2002228260434,5.70347019630566,5.8740058500158,5.89358586951585,1.00771115049942,0.849356541135222,0.846936721929709,0.691336719528669,0.668033234600736,0.468149274641461,0.594549578794655,0.465944890100309,0.51970776203496,0.482585779032463,0.551526604608529,0.624129413991176,0.949668211703288,0.915134822186805,0.958712670862367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
