me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
Def tax,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8034,8034,8034,8034,8034,8034,8034,8034,8034,8034,8034,8034,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,29837,29837,29837,29837,29837,29837,29837,29837,29837,29837,29837,29837,29497,29497,29497,29497,29497,29497,29497,29497,29497,29497,29497,29497,26818,26818,26818,26818,26818,26818,26818,26818,26818,26818,26818,26818,28566,28566,28566,28566,28566,28566,28566,28566,28566,28566,28566,28566,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33425,33425,33425,33425,33425,33425,33425,33425,33425,33425,33425,33425,33629,33629,33629,33629,33629,33629,33629,33629,33629,33629,33629,33629
Price monthly,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.2,7.36,7.66,7.8,6.92,7,7.1,6.8,6.9,6.5,5.5,5.8,5.78,5.45,5.2,3.58,3.3,3.47,3.2,2.24,1.85,1.39,1.32,1.07,1.34,1.35,1.05,1.13,1.35,1.69,1.85,2.05,1.65,1.5,1.56,1.45,1.5,1.68,1.65,1.6,1.98,1.65,1.78,2,1.9,2.35,2.13,2.2,2.18,2.15,2.09,1.7,1.5,1.41,1.41,1.35,1.39,1.4,1.65,2,2,2,1.85,1.58,1.55,1.55,1.65,1.6,1.55,1.5,1.4,1.55,1.56,1.59,1.39,1.26,1.29,1.25,1.49,1.5,1.4,1.28
MV monthly,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.99,854.64,873.63,909.24,925.86,821.4,1094.65,1110.29,1063.38,1079.01,1016.46,860.08,907,903.87,852.26,813.17,559.84,516.05,542.63,500.41,350.29,289.3,217.37,206.42,167.33,209.55,211.11,164.2,176.71,211.11,264.28,289.3,320.58,258.02,234.57,243.95,226.75,234.57,262.72,258.02,250.21,309.63,258.02,278.35,312.76,297.12,367.49,333.09,344.03,340.91,336.21,326.83,265.84,234.57,220.49,220.49,211.11,217.37,218.93,258.02,312.76,312.76,312.76,289.3,247.08,242.39,242.39,258.02,250.21,242.39,234.57,218.93,242.39,243.95,248.64,217.37,197.04,201.73,195.47,233,234.57,218.93,200.16
NOSH,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118700,118700,118700,118700,118700,118700,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379,156379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913990,854640,873632,909242,925860,821404,1094653,1110290.9,1063377.2,1079015.1,1016463.5,860084.5,906998.2,903870.62,852265.55,813170.8,559836.82,516050.7,542635.13,500412.8,350288.96,289301.15,217366.81,206420.28,167325.53,209547.86,211111.65,164197.95,176708.27,211111.65,264280.51,289301.15,320576.95,258025.35,234568.5,243951.24,226749.55,234568.5,262716.72,258025.35,250206.4,309630.42,258025.35,278354.62,312758,297120.1,367490.65,333087.27,344033.8,340906.22,336214.85,326832.11,265844.3,234568.5,220494.39,220494.39,211111.65,217366.81,218930.6,258025.35,312758,312758,312758,289301.15,247078.82,242387.45,242387.45,258025.35,250206.4,242387.45,234568.5,218930.6,242387.45,243951.24,248642.61,217366.81,197037.54,201728.91,195473.75,233004.71,234568.5,218930.6,200165.12
Debt equity,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.130742130657885,0.139821445286904,0.136781848650233,0.131424857188735,0.129065949495604,0.14547896041412,0.109164273975406,0.107626748989837,0.112374987915859,0.110746364902586,0.117561525819668,0.138936348695971,0.131749985832386,0.132205868136305,0.326253947493243,0.341939233430418,0.4966715122453,0.53881333752672,0.512416142316477,0.55565125432443,0.793787506177757,0.961126493966581,1.27919713225768,1.3470333438168,1.66176076059643,1.32692836853595,1.47402097420962,1.8951698239838,1.76099850901149,1.47402097420962,1.17747237584792,1.07563692712594,0.970696739113651,1.20601716071696,1.32661887678866,1.27559507383525,1.37236435529861,1.32661887678866,0.892242412283466,0.908465001597711,0.93685453289764,0.757054167998093,0.908465001597711,0.842116434065294,0.749483626318112,0.788930132966434,0.637858405377116,0.70374049419541,0.681348751198283,0.68759965717258,0.692384646305777,0.712261717491589,0.875662935033777,0.992417993038281,1.05576382238115,1.05576382238115,1.10268665893142,1.07095466874635,1.06330499254102,0.902198175489346,0.744313494778711,0.744313494778711,0.955077088355853,1.03251577119552,1.20895833969095,1.23235753336239,1.23235753336239,1.1576691980071,1.19384636044482,1.23235753336239,1.2734361178078,1.36439584050836,1.23235753336239,1.22445780558443,1.45166188530598,1.66053409901907,1.83185904574326,1.78925767258644,1.84651391810921,1.54908885747417,1.53876159842434,1.64867314116894,1.80323624815352
Price Sales,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66188460503444,1.55397002029194,1.58850268740954,1.65325143825504,1.68346752198294,1.49353785283614,1.99037951022961,2.01881350323289,1.93351152422305,1.96194551722633,1.84820954521321,1.56386961518041,1.64917159419025,1.64348479558959,0.999614763885272,0.953760875633654,0.65662767976317,0.605271324921358,0.636451968932458,0.586929769620711,0.410850838734497,0.339318773061973,0.254947618678996,0.242108529968543,0.196254641716925,0.245776841028672,0.185736840114128,0.144461986755433,0.155468614317752,0.185736840114128,0.232515007253983,0.25452826237862,0.282044831284417,0.227011693472823,0.206374266793476,0.214629237465215,0.199495124567027,0.206374266793476,0.274242587466022,0.269345398404129,0.261183416634307,0.323214478084954,0.269345398404129,0.290566551005666,0.326479270792883,0.310155307253239,0.383613143181638,0.347700423394421,0.359127197872172,0.355862405164243,0.295409882878054,0.287165886146574,0.23357990739195,0.206099918287015,0.193733923189794,0.193733923189794,0.185489926458313,0.1909859242793,0.192359923734547,0.226709910115716,0.274799891049353,0.274799891049353,0.2480200536233,0.229418549601552,0.195935842362407,0.192215541558057,0.192215541558057,0.204616544239222,0.19841604289864,0.192215541558057,0.186015040217475,0.17361403753631,0.192215541558057,0.193455641826174,0.176804098933597,0.154564589633774,0.140108908588889,0.143444834983862,0.138996933123897,0.165684344283686,0.166796319748677,0.155676565098765,0.142332859518871
BV/MV,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.127056094705631,0.135879434615745,0.132925533863228,0.127719573006966,0.125427170414534,0.141377446421006,0.106086586342887,0.104592409070452,0.109206780058854,0.107624073101479,0.114247092984647,0.135019291709129,0.128035535241415,0.128478564775122,0.750043223030662,0.786102993368675,1.14182557696009,1.2387077471264,1.17802177680608,1.2774173642241,1.82488194889157,2.20958679217141,2.94081695360943,3.09676936781599,3.82031361263281,3.05054892949038,3.11737888458548,4.00805856589562,3.72430220724814,3.11737888458548,2.49021390188781,2.27484405091373,2.05290804594653,2.55058272375176,2.80564099612693,2.69773172704513,2.90238723737269,2.80564099612693,2.62553521526913,2.67327221918312,2.75681197603259,2.22772684931926,2.67327221918312,2.47803323688322,2.20544958082607,2.32152587455376,1.87697836666048,2.07084467683199,2.00495416438734,2.02334823928997,2.19160753904832,2.25452450189181,2.77173894644346,3.14130413930259,3.34181291415169,3.34181291415169,3.49033793255843,3.38989655320423,3.36568300639563,2.85573103572963,2.35597810447694,2.35597810447694,2.50351389892505,2.7065015123514,3.16900493534816,3.230340514742,3.230340514742,3.03456230172733,3.12939237365631,3.230340514742,3.33801853190006,3.57644842703578,3.230340514742,3.20963320375006,2.67399863603427,3.05874664121905,3.37433161213848,3.29585878394921,3.40132626503559,2.85346163174126,2.83443855419632,3.03689845092463,3.32160768069882
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
