Name,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,1841478,1841478,1841478,1841478,1841478,1841478,1841478,1841478,1841478,1841478,2165778,2165778,2165778,2165778,2165778,2165778,2165778,2165778,2165778,2165778,2165778,2165778,2209151,2209151,2209151,2209151,2209151,2209151,2209151,2209151,2209151,2209151,2209151,2209151,2061590,2061590,2061590,2061590,2061590,2061590,2061590,2061590,2061590,2061590,2061590,2061590,1510723,1510723,1510723,1510723,1510723,1510723,1510723,1510723,1510723,1510723,1510723,1510723,1642000,1642000,1642000,1642000,1642000,1642000,1642000,1642000,1642000,1642000,1642000,1642000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,2455000,3211000,3211000,3211000,3211000,3211000,3211000,3211000,3211000,3211000,3211000,3211000,3211000,2927000,2927000,2927000,2927000,2927000,2927000,2927000,2927000,2927000,2927000,2927000,2927000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2483000,2483000,2483000,2483000,2483000,2483000,2483000,2483000,2483000,2483000,2483000,2483000,2541000,2541000,2541000,2541000,2541000,2541000,2541000,2541000,2541000,2541000,2541000,2541000,2759000,2759000,2759000,2759000,2759000,2759000,2759000,2759000,2759000,2759000,2759000,2759000
Excess return,Basic Materials,,-0.1936812,-0.182005,-0.1776408,-0.1716938,-0.1575396,-0.1540301,-0.1525948,-0.1575016,-0.1593396,-0.1561473,-0.1485333,-0.1622594,-0.1656913,-0.1682157,-0.1789019,-0.1644074,-0.1631665,-0.2103789,-0.199085939,0.03636329,0.023600075,-0.204884448,-0.133702287,0.03928924,-0.07915107,-0.276856362,-0.253363878,-0.26892734,0.201932613,-0.238244862,-0.179575993,-0.008918864,-0.037899363,-0.1401999,-0.1454153,-0.1438019,-0.149298,-0.14606,-0.1505839,-0.1534043,-0.1685713,-0.1699562,-0.1749899,-0.1742591,-0.1765145,-0.1774154,-0.1597784,-0.16081,-0.1654705,-0.1663348,-0.1743181,-0.1747697,-0.1757075,-0.1693348,-0.1678111,-0.1732391,-0.1766836,-0.1782248,-0.1715078,-0.1671667,-0.1708349,-0.1706453,-0.1690299,-0.1651602,-0.1700462,-0.1698932,-0.1723494,-0.1730278,-0.1656138,-0.1655953,-0.1647399,-0.1649262,-0.1606487,-0.1622408,-0.1489984,-0.1524634,-0.1572736,-0.1645319,-0.1689139,-0.1658801,-0.1638982,-0.1666688,-0.176911,-0.1710677,-0.1866062,-0.1833039,-0.1869714,-0.1942928,-0.2053556,-0.191466,-0.1898832,-0.204672,-0.2155321,-0.2088322,-0.1968623,-0.2000265,-0.2002096,-0.2008297,-0.196977,-0.1933588,-0.1940355,-0.1850203,-0.1852607,-0.1852677,-0.1846658,-0.1857359,-0.1869156,-0.1882953,-0.1795745,-0.1764437,-0.1748152,-0.1763785,-0.1774805,-0.1708989,-0.1566329,-0.156297,-0.1383697,-0.1423291,-0.1423592,-0.1552216,-0.1478234,-0.1470398,-0.1435381,-0.1472356,-0.1506477,-0.1586048,-0.1504342,-0.1558997,-0.1495589,-0.1499825,-0.1495009,-0.1498378,-0.1538547,-0.1545264,-0.1527973,-0.1511655,-0.1444602,-0.1367312,-0.1363468,-0.1335392,-0.1390409,-0.1377703,-0.1301827,-0.1356399,-0.1358574,-0.1385387,-0.1349755,-0.138454,-0.1487477,-0.1563184,-0.1615513,-0.1546953,-0.1598282,-0.1635061,-0.1615229,0
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,1.1724,1.1124,1.035,0.8816,0.8126,0.6292,0.7227,0.7396,0.8032,0.8292,0.8071,0.7291,0.7438,0.6951,0.6939,0.7413,0.7398,0.7455,0.6203,0.6494,0.6503,0.652,0.6592,0.5994,0.5753,0.5977,0.6205,0.6324,0.8104,0.8064,0.787,0.8033,0.7775,0.7538,0.7873,0.8431,0.8413,0.846,0.82,0.8553,0.8461,1.0551,1.0374,1.1173,1.1057,1.1415,1.1558,1.1568,1.27,1.3535,1.4196,1.3987,1.4519,1.4525,1.4196,1.4097,1.4657,1.5172,1.5496,1.4906,1.4709,1.5323,1.5531,1.4973,1.4454,1.4674,1.3364,1.3738,1.3706,1.3526,1.3531,1.3673,1.3774,1.3349,1.3316,1.1468,1.1518,1.1472,1.2513,1.3153,1.3227,1.3214,1.2876,1.447,1.3479,1.5374,1.4453,1.4678,1.4856,1.5612,1.582,1.5664,1.844,1.9767,1.9894,1.9621,1.9155,1.8192,1.8219,1.779,1.6676,1.6585,1.5281,1.5589,1.5479,1.5066,1.5093,1.5312,1.5531,1.4615,1.4499,1.4304,1.4195,1.4235,1.4103,1.2283,1.219,0.9519,0.9457,0.9684,1.0932,0.9718,0.9546,0.9387,1.0212,1.0579,1.2096,1.1434,1.1619,1.1303,1.1275,1.1143,1.1506,1.1969,1.2028,1.2071,1.1685,1.1454,1.1124,1.0936,1.0784,1.1443,1.1281,1.0529,1.1173,1.1398,1.1649,1.1885,1.058,1.1579,1.2368,1.2651,1.2531,1.3314,1.3247,1.3083,
VO monthly avg,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,227.85,194.8,111.8,346.11,291.49,101.71,161.05,191.53,99.77,89.87,90.9,100.74,87.76,84.9,88.46,39.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Basic Materials,3951714,3951714,3951714,3951714,3951714,3951714,3951714,3951714,3951714,3951714,4618648,4618648,4618648,4618648,4618648,4618648,4618648,4618648,4618648,4618648,4618648,4618648,5212447,5212447,5212447,5212447,5212447,5212447,5212447,5212447,5212447,5212447,5212447,5212447,5554305,5554305,5554305,5554305,5554305,5554305,5554305,5554305,5554305,5554305,5554305,5554305,3242428,3242428,3242428,3242428,3242428,3242428,3242428,3242428,3242428,3242428,3242428,3242428,3913000,3913000,3913000,3913000,3913000,3913000,3913000,3913000,3913000,3913000,3913000,3913000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5015000,5991000,5991000,5991000,5991000,5991000,5991000,5991000,5991000,5991000,5991000,5991000,5991000,5786000,5786000,5786000,5786000,5786000,5786000,5786000,5786000,5786000,5786000,5786000,5786000,5275000,5275000,5275000,5275000,5275000,5275000,5275000,5275000,5275000,5275000,5275000,5275000,5348000,5348000,5348000,5348000,5348000,5348000,5348000,5348000,5348000,5348000,5348000,5348000,5372000,5372000,5372000,5372000,5372000,5372000,5372000,5372000,5372000,5372000,5372000,5372000,5998000,5998000,5998000,5998000,5998000,5998000,5998000,5998000,5998000,5998000,5998000,5998000
Net sales,Basic Materials,5239374,5239374,5239374,5239374,5239374,5239374,5239374,5239374,5239374,5239374,6511510,6511510,6511510,6511510,6511510,6511510,6511510,6511510,6511510,6511510,6511510,6511510,7325895,7325895,7325895,7325895,7325895,7325895,7325895,7325895,7325895,7325895,7325895,7325895,7835144,7835144,7835144,7835144,7835144,7835144,7835144,7835144,7835144,7835144,7835144,7835144,5852639,5852639,5852639,5852639,5852639,5852639,5852639,5852639,5852639,5852639,5852639,5852639,3914000,3914000,3914000,3914000,3914000,3914000,3914000,3914000,3914000,3914000,3914000,3914000,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,4679200,5666000,5666000,5666000,5666000,5666000,5666000,5666000,5666000,5666000,5666000,5666000,5666000,4795000,4795000,4795000,4795000,4795000,4795000,4795000,4795000,4795000,4795000,4795000,4795000,4721000,4721000,4721000,4721000,4721000,4721000,4721000,4721000,4721000,4721000,4721000,4721000,5246000,5246000,5246000,5246000,5246000,5246000,5246000,5246000,5246000,5246000,5246000,5246000,5558000,5558000,5558000,5558000,5558000,5558000,5558000,5558000,5558000,5558000,5558000,5558000,5825000,5825000,5825000,5825000,5825000,5825000,5825000,5825000,5825000,5825000,5825000,5825000
common equity,Basic Materials,1718805,1718805,1718805,1718805,1718805,1718805,1718805,1718805,1718805,1718805,1892528,1892528,1892528,1892528,1892528,1892528,1892528,1892528,1892528,1892528,1892528,1892528,2377131,2377131,2377131,2377131,2377131,2377131,2377131,2377131,2377131,2377131,2377131,2377131,2705924,2705924,2705924,2705924,2705924,2705924,2705924,2705924,2705924,2705924,2705924,2705924,1719622,1719622,1719622,1719622,1719622,1719622,1719622,1719622,1719622,1719622,1719622,1719622,2248000,2248000,2248000,2248000,2248000,2248000,2248000,2248000,2248000,2248000,2248000,2248000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2533000,2741000,2741000,2741000,2741000,2741000,2741000,2741000,2741000,2741000,2741000,2741000,2741000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2695000,2695000,2695000,2695000,2695000,2695000,2695000,2695000,2695000,2695000,2695000,2695000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2827000,2804000,2804000,2804000,2804000,2804000,2804000,2804000,2804000,2804000,2804000,2804000,2804000,3202000,3202000,3202000,3202000,3202000,3202000,3202000,3202000,3202000,3202000,3202000,3202000
Turnover ratio,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56%,0.24%,0.2%,0.12%,0.36%,0.31%,0.11%,0.17%,0.2%,0.1%,0.09%,0.1%,0.11%,0.09%,0.09%,0.09%,0.04%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Basic Materials,,,,,,,,,,,,,,,,,,,-0.0541,-0.047573739,0.19003219,0.176476075,-0.051454848,0.008859913,0.18003314,0.05820403,-0.139264862,-0.114622678,-0.11997214,0.348535813,-0.094563862,-0.033868093,0.136363636,0.103690037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
