Start,1992
End,2012
Frequency,Y
Name,DEL MONTE ROYAL DEAD - 09/02/01 - TOT RETURN IND
Code,317349(RI)
CURRENCY,R
1992,372.38
1993,687.16
1994,617.73
1995,555.97
1996,378.35
1997,367.9
1998,274.61
1999,128.45
2000,432.53
2001,450.55
2002,486.59
2003,486.59
2004,486.59
2005,486.59
2006,486.59
2007,486.59
2008,486.59
2009,486.59
2010,486.59
2011,486.59
2012,486.59
