Start,1992
End,2012
Frequency,Y
Name,STOCKS&STOCKS - TOT RETURN IND
Code,152466(RI)
CURRENCY,R
1992,NA
1993,NA
1994,NA
1995,NA
1996,142.86
1997,85.28
1998,95.68
1999,95.68
2000,95.68
2001,95.68
2002,95.68
2003,95.68
2004,95.68
2005,95.68
2006,95.68
2007,95.68
2008,95.68
2009,95.68
2010,95.68
2011,95.68
2012,95.68
