Start,1992
End,2012
Frequency,Y
Name,SEA HARVEST DEAD - DELIST 01/12/00 - TOT RETURN IND
Code,152255(RI)
CURRENCY,R
1992,NA
1993,NA
1994,100.26
1995,73.38
1996,89.97
1997,100.75
1998,65.07
1999,83.62
2000,128.88
2001,166.37
2002,166.37
2003,166.37
2004,166.37
2005,166.37
2006,166.37
2007,166.37
2008,166.37
2009,166.37
2010,166.37
2011,166.37
2012,166.37
