Start,1992
End,2012
Frequency,Y
Name,ALEX WHITE DEAD - 19/06/06 - TOT RETURN IND
Code,315444(RI)
CURRENCY,R
1992,112.64
1993,143.11
1994,143.11
1995,275.21
1996,297.22
1997,233.38
1998,178.33
1999,96.87
2000,66.05
2001,50.64
2002,99.07
2003,77.06
2004,265.85
2005,346.76
2006,554.82
2007,705.08
2008,705.08
2009,705.08
2010,705.08
2011,705.08
2012,705.08
