Start,1992
End,2012
Frequency,Y
Name,LINDUM REEFS GOLD MINING DEAD - DELIST 27/02/98 - TOT RETURN IND
Code,771636(RI)
CURRENCY,R
1992,12.66
1993,5.06
1994,302.85
1995,267.71
1996,192.74
1997,179.29
1998,40.69
1999,52.9
2000,52.9
2001,52.9
2002,52.9
2003,52.9
2004,52.9
2005,52.9
2006,52.9
2007,52.9
2008,52.9
2009,52.9
2010,52.9
2011,52.9
2012,52.9
