Start,1992
End,2012
Frequency,Y
Name,T&N DEAD - DELIST 24/12/98 - TOT RETURN IND
Code,152275(RI)
CURRENCY,R
1992,61.94
1993,78.23
1994,140.16
1995,194.01
1996,502.83
1997,261.1
1998,118.98
1999,271.87
2000,271.87
2001,271.87
2002,271.87
2003,271.87
2004,271.87
2005,271.87
2006,271.87
2007,271.87
2008,271.87
2009,271.87
2010,271.87
2011,271.87
2012,271.87
