Start,01/01/1992
End,12/01/2012
Frequency,M
Name,IFA HOTELS AND - NET CASH FLOW-OPERATING ACTIVS
Code,981980(WC04860)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,NA
08/01/1997,NA
09/01/1997,NA
10/01/1997,NA
11/01/1997,NA
12/01/1997,NA
01/01/1998,5299
02/01/1998,5299
03/01/1998,5299
04/01/1998,5299
05/01/1998,5299
06/01/1998,5299
07/01/1998,5299
08/01/1998,5299
09/01/1998,5299
10/01/1998,5299
11/01/1998,5299
12/01/1998,5299
01/01/1999,-26020
02/01/1999,-26020
03/01/1999,-26020
04/01/1999,-26020
05/01/1999,-26020
06/01/1999,-26020
07/01/1999,-26020
08/01/1999,-26020
09/01/1999,-26020
10/01/1999,-26020
11/01/1999,-26020
12/01/1999,-26020
01/01/2000,1256
02/01/2000,1256
03/01/2000,1256
04/01/2000,1256
05/01/2000,1256
06/01/2000,1256
07/01/2000,1256
08/01/2000,1256
09/01/2000,1256
10/01/2000,1256
11/01/2000,1256
12/01/2000,1256
01/01/2001,-7430
02/01/2001,-7430
03/01/2001,-7430
04/01/2001,-7430
05/01/2001,-7430
06/01/2001,-7430
07/01/2001,-7430
08/01/2001,-7430
09/01/2001,-7430
10/01/2001,-7430
11/01/2001,-7430
12/01/2001,-7430
01/01/2002,-2537
02/01/2002,-2537
03/01/2002,-2537
04/01/2002,-2537
05/01/2002,-2537
06/01/2002,-2537
07/01/2002,-2537
08/01/2002,-2537
09/01/2002,-2537
10/01/2002,-2537
11/01/2002,-2537
12/01/2002,-2537
01/01/2003,-1658
02/01/2003,-1658
03/01/2003,-1658
04/01/2003,-1658
05/01/2003,-1658
06/01/2003,-1658
07/01/2003,-1658
08/01/2003,-1658
09/01/2003,-1658
10/01/2003,-1658
11/01/2003,-1658
12/01/2003,-1658
01/01/2004,-1717
02/01/2004,-1717
03/01/2004,-1717
04/01/2004,-1717
05/01/2004,-1717
06/01/2004,-1717
07/01/2004,-1717
08/01/2004,-1717
09/01/2004,-1717
10/01/2004,-1717
11/01/2004,-1717
12/01/2004,-1717
01/01/2005,11923
02/01/2005,11923
03/01/2005,11923
04/01/2005,11923
05/01/2005,11923
06/01/2005,11923
07/01/2005,23482
08/01/2005,23482
09/01/2005,23482
10/01/2005,23482
11/01/2005,23482
12/01/2005,23482
01/01/2006,23482
02/01/2006,23482
03/01/2006,23482
04/01/2006,23482
05/01/2006,23482
06/01/2006,23482
07/01/2006,-35201
08/01/2006,-35201
09/01/2006,-35201
10/01/2006,-35201
11/01/2006,-35201
12/01/2006,-35201
01/01/2007,-35201
02/01/2007,-35201
03/01/2007,-35201
04/01/2007,-35201
05/01/2007,-35201
06/01/2007,-35201
07/01/2007,48698
08/01/2007,48698
09/01/2007,48698
10/01/2007,48698
11/01/2007,48698
12/01/2007,48698
01/01/2008,48698
02/01/2008,48698
03/01/2008,48698
04/01/2008,48698
05/01/2008,48698
06/01/2008,48698
07/01/2008,-63276
08/01/2008,-63276
09/01/2008,-63276
10/01/2008,-63276
11/01/2008,-63276
12/01/2008,-63276
01/01/2009,-63276
02/01/2009,-63276
03/01/2009,-63276
04/01/2009,-63276
05/01/2009,-63276
06/01/2009,-63276
07/01/2009,-28143
08/01/2009,-28143
09/01/2009,-28143
10/01/2009,-28143
11/01/2009,-28143
12/01/2009,-28143
01/01/2010,-28143
02/01/2010,-28143
03/01/2010,-28143
04/01/2010,-28143
05/01/2010,-28143
06/01/2010,-28143
07/01/2010,-42096
08/01/2010,-42096
09/01/2010,-42096
10/01/2010,-42096
11/01/2010,-42096
12/01/2010,-42096
01/01/2011,-42096
02/01/2011,-42096
03/01/2011,-42096
04/01/2011,-42096
05/01/2011,-42096
06/01/2011,-42096
07/01/2011,-42096
08/01/2011,-42096
09/01/2011,-42096
10/01/2011,-42096
11/01/2011,-42096
12/01/2011,-42096
01/01/2012,4741
02/01/2012,4741
03/01/2012,4741
04/01/2012,4741
05/01/2012,4741
06/01/2012,4741
07/01/2012,4741
08/01/2012,4741
09/01/2012,4741
10/01/2012,4741
11/01/2012,4741
12/01/2012,4741
