Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;1506807;1506807;1506807;2078692;2078692;2078692;2078692;2078692;2078692;2078692;2078692;2078692;2078692;2078692;2078692;1305772;1305772;1305772;1305772;1305772;1305772;1305772;1305772;1305772;1305772;1305772;1305772;1981060;1981060;1981060;1981060;1981060;1981060;1981060;1981060;1981060;1981060;1981060;1981060;2849947;2849947;2849947;2849947;2849947;2849947;2849947;2849947;2849947;2849947;2849947;2849947;563988;563988;563988;563988;563988;563988;563988;563988;563988;563988;563988;563988;1317120;1317120;1317120;1317120;1317120;1317120;1317120;1317120;1317120;1317120;1317120;1317120;9123310;9123310;9123310;9123310;9123310;9123310;9123310;9123310;9123310;9123310;9123310;9123310;9479169;9479169;9479169;9479169;9479169;9479169;9479169;9479169;9479169;9479169;9479169;9479169;9271875;9271875;9271875;9271875;9271875;9271875;9271875;9271875;9271875;9271875;9271875;9271875;10591226;10591226;10591226;10591226;10591226;10591226;10591226;10591226;10591226;10591226;10591226;10591226;12961886;12961886;12961886;12961886;12961886;12961886;12961886;12961886;12961886;12961886;12961886;12961886;15648300;15648300;15648300;15648300;15648300;15648300;15648300;15648300;15648300;15648300;15648300;15648300;20994100;20994100;20994100;20994100;20994100;20994100;20994100;20994100;20994100;20994100
Excess return;Financials;;-0,111758389;-0,257027405;-0,307443196;-0,069958712;-0,169948639;0,02288824;-0,1673683;-0,065272246;-0,332469425;-0,28984152;-0,1190394;-0,119487801;-0,244810426;-0,354731488;-0,347311442;0,277918648;-0,058793747;-0,315621435;-0,154511;-0,1555841;-0,193961226;-0,061479699;-0,210582629;-0,1422055;-0,105705834;-0,115132989;-0,511168815;-0,092879246;-0,009345833;5,74492E-05;0,005644967;-0,159584756;-0,124727588;0,015993882;-0,186892967;-0,02385767;-0,191816781;-0,152506578;-0,145141546;-0,168967674;-0,294667207;-0,001963453;-0,1878986;-0,058154765;-0,142982117;0,01305906;0,081920318;0,118059296;-0,219636043;-0,100787689;-0,2168565;-0,135185982;0,025121021;-0,097618062;-0,083283515;-0,108320172;0,155471425;-0,250902095;-0,119075315;0,244463299;-0,114929536;0,185584503;-0,09218138;-0,237264983;-0,227920989;-0,107121359;-0,047764599;-0,126329559;-0,061658703;-0,157068712;-0,067422781;-0,039097969;-0,121498771;-0,13592491;-0,112627122;-0,068735495;-0,149287441;-0,205362766;-0,184913333;-0,181121124;-0,13164525;-0,14707098;0,015371295;-0,157761987;-0,420393437;-0,080319718;-0,320652019;-0,063216598;-0,10201833;-0,260147993;0,018529727;-0,157637344;-0,290098049;-0,318757202;-0,091120949;-0,117761442;-0,067657644;-0,117520406;-0,167562504;0,001878794;-0,120429094;-0,052593805;-0,022494831;-0,02838383;0,432288614;-0,19759068;-6,18165E-05;-0,244705274;-0,108491001;-0,14151169;0,045805057;-0,032975015;-0,194561376;-0,086639581;-0,012609445;-0,109966903;0,105412599;-0,151089529;-0,1027977;-0,030386568;-0,164401448;-0,006037826;-0,234418865;-0,022732458;0,000206663;-0,182271413;-0,176062117;-0,168154456;-0,12651454;-0,075278;-0,186059826;-0,162504132;-0,1420989;-0,141372;-0,099338926;0,076936188;-0,164791093;-0,111062905;0,013206547;-0,166591737;-0,082822163;-0,178727053;-0,106032253;-0,152927573;-0,100816587;-0,096742371;-0,071136167;-0,047254572;-0,128688264;0,014841183;-0,168819031;-0,00602876;0,094762435;-0,081693587;-0,144602143;0,103812565
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;1,2287;1,1449;1,108;1,1382;1,0971;1,0685;0,9524;0,9741;1,0101;0,9318;0,8884;0,8334;0,8392;0,7205;0,7151;0,7134;0,7109;0,7905;0,6893;0,697;0,6807;0,6692;0,6878;0,6209;0,5985;0,5812;0,7355;0,7243;0,7861;0,8171;0,8598;0,8259;0,8133;0,8733;0,9535;1,038;1,0078;1,1139;1,1312;1,1812;1,1624;1,281;1,2789;1,3222;1,3109;1,2895;1,394;1,391;1,4707;1,533;1,0899;1,0535;1,2598;1,2601;1,1741;1,2526;1,4387;1,4787;1,3482;1,5707;1,4491;1,174;1,1214;0,8659;0,9013;1,0255;1,0014;0,9727;0,9985;0,994;0,9942;1,0575;1,0356;1,0662;0,9714;0,9706;0,9965;1,0581;1,1615;1,2018;0,7952;0,5998;0,4738;-0,0178;0,5595;0,9536;1,0588;1,1155;1,1186;1,1653;0,802;0,8236;0,8655;0,9322;0,9213;0,8864;0,8484;0,7734;0,6759;0,7016;0,6661;0,6508;0,6939;0,7129;0,7508;0,7134;0,7478;0,7225;0,6337;0,6218;0,6474;0,628;0,6198;0,6135;0,7444;0,6408;0,7217;0,5228;0,5278;0,5415;0,6108;0,7515;0,7941;0,8013;0,9791;1,0073;1,0727;1,0702;1,0492;1,0778;1,0716;1,134;1,086;1,0103;0,994;1,0582;1,017;1,0545;1,1324;1,107;0,9051;0,8599;0,8449;0,7449;0,6918;0,6359;0,5953;0,5742;0,4192;0,254;0,1452;0,1584;0,2347;0,1236;0,1874;0,1834
VO monthly avg;Financials; 175.90 ; 289.15 ; 321.12 ; 170.65 ; 608.10 ; 487.09 ; 379.88 ; 428.93 ; 364.12 ; 284.28 ; 563.50 ; 307.43 ; 199.25 ; 367.43 ; 345.87 ; 218.16 ; 432.16 ; 633.36 ; 236.47 ; 159.76 ; 123.46 ; 93.48 ; 195.30 ; 276.77 ; 475.53 ; 307.05 ; 843.97 ; 917.70 ; 392.19 ; 1167.97 ; 967.97 ; 496.62 ; 128.93 ; 123.14 ; 436.30 ; 147.81 ; 641.93 ; 142.82 ; 318.23 ; 118.46 ; 218.28 ; 131.56 ; 378.76 ; 185.09 ; 68.44 ; 52.62 ; 478.73 ; 1049.18 ; 94.77 ; 254.09 ; 180.68 ; 53.08 ; 91.28 ; 128.62 ; 45.95 ; 75.64 ; 52.88 ; 72.51 ; 120.55 ; 54.47 ; 54.80 ; 99.36 ; 70.15 ; 94.85 ; 86.06 ; 101.61 ; 83.36 ; 49.00 ; 902.72 ; 78.94 ; 404.55 ; 193.06 ; 110.00 ; 101.61 ; 259.19 ; 239.50 ; 116.32 ; 728.49 ; 333.46 ; 121.46 ; 207.38 ; 94.73 ; 120.28 ; 462.50 ; 111.05 ; 135.04 ; 91.07 ; 90.09 ; 147.86 ; 102.43 ; 78.88 ; 143.05 ; 100.89 ; 52.12 ; 179.83 ; 117.12 ; 28.65 ; 44.68 ; 27.26 ; 31.09 ; 30.00 ; 55.23 ; 69.34 ; 129.69 ; 56.83 ; 53.30 ; 73.23 ; 84.02 ; 49.45 ; 151.59 ; 366.37 ; 69.08 ; 49.70 ; 65.05 ; 55.74 ; 107.51 ; 60.77 ; 61.03 ; 92.46 ; 83.75 ; 93.45 ; 130.97 ; 64.41 ; 33.67 ; 64.98 ; 91.40 ; 49.64 ; 70.20 ; 67.59 ; 29.61 ; 50.59 ; 25.83 ; 12.69 ; 73.70 ; 35.95 ; 35.18 ; 226.34 ; 83.32 ; 22.36 ; 34.84 ; 253.28 ; 31.71 ; 51.81 ; 27.74 ; 33.23 ; 144.43 ; 50.03 ; 52.15 ; 135.24 ; 124.77 ; 87.02 ; 37.93 ; 40.49 ; 67.28 ; 84.91 ; 42.32 ; 37.95 
Total assets;Financials;3276281;3276281;3276281;4236811;4236811;4236811;4236811;4236811;4236811;4236811;4236811;4236811;4236811;4236811;4236811;2519055;2519055;2519055;2519055;2519055;2519055;2519055;2519055;2519055;2519055;2519055;2519055;2371965;2371965;2371965;2371965;2371965;2371965;2371965;2371965;2371965;2371965;2371965;2371965;3342621;3342621;3342621;3342621;3342621;3342621;3342621;3342621;3342621;3342621;3342621;3342621;1833330;1833330;1833330;1833330;1833330;1833330;1833330;1833330;1833330;1833330;1833330;1833330;5384086;5384086;5384086;5384086;5384086;5384086;5384086;5384086;5384086;5384086;5384086;5384086;14192286;14192286;14192286;14192286;14192286;14192286;14192286;14192286;14192286;14192286;14192286;14192286;14098146;14098146;14098146;14098146;14098146;14098146;14098146;14098146;14098146;14098146;14098146;14098146;14682252;14682252;14682252;14682252;14682252;14682252;14682252;14682252;14682252;14682252;14682252;14682252;17361852;17361852;17361852;17361852;17361852;17361852;17361852;17361852;17361852;17361852;17361852;17361852;20909430;20909430;20909430;20909430;20909430;20909430;20909430;20909430;20909430;20909430;20909430;20909430;25797800;25797800;25797800;25797800;25797800;25797800;25797800;25797800;25797800;25797800;25797800;25797800;33440900;33440900;33440900;33440900;33440900;33440900;33440900;33440900;33440900;33440900
Net sales;Financials;880287;880287;880287;872587;872587;872587;872587;872587;872587;872587;872587;872587;872587;872587;872587;801746;801746;801746;801746;801746;801746;801746;801746;801746;801746;801746;801746;650506;650506;650506;650506;650506;650506;650506;650506;650506;650506;650506;650506;354745;354745;354745;354745;354745;354745;354745;354745;354745;354745;354745;354745;1287546;1287546;1287546;1287546;1287546;1287546;1287546;1287546;1287546;1287546;1287546;1287546;1096611;1096611;1096611;1096611;1096611;1096611;1096611;1096611;1096611;1096611;1096611;1096611;2463816;2463816;2463816;2463816;2463816;2463816;2463816;2463816;2463816;2463816;2463816;2463816;1982092;1982092;1982092;1982092;1982092;1982092;1982092;1982092;1982092;1982092;1982092;1982092;692987;692987;692987;692987;692987;692987;692987;692987;692987;692987;692987;692987;1393503;1393503;1393503;1393503;1393503;1393503;1393503;1393503;1393503;1393503;1393503;1393503;1732019;1732019;1732019;1732019;1732019;1732019;1732019;1732019;1732019;1732019;1732019;1732019;4997300;4997300;4997300;4997300;4997300;4997300;4997300;4997300;4997300;4997300;4997300;4997300;11805500;11805500;11805500;11805500;11805500;11805500;11805500;11805500;11805500;11805500
common equity;Financials;1140819;1140819;1140819;1217982;1217982;1217982;1217982;1217982;1217982;1217982;1217982;1217982;1217982;1217982;1217982;993050;993050;993050;993050;993050;993050;993050;993050;993050;993050;993050;993050;331582;331582;331582;331582;331582;331582;331582;331582;331582;331582;331582;331582;404365;404365;404365;404365;404365;404365;404365;404365;404365;404365;404365;404365;719297;719297;719297;719297;719297;719297;719297;719297;719297;719297;719297;719297;2372994;2372994;2372994;2372994;2372994;2372994;2372994;2372994;2372994;2372994;2372994;2372994;3295448;3295448;3295448;3295448;3295448;3295448;3295448;3295448;3295448;3295448;3295448;3295448;2755407;2755407;2755407;2755407;2755407;2755407;2755407;2755407;2755407;2755407;2755407;2755407;2946976;2946976;2946976;2946976;2946976;2946976;2946976;2946976;2946976;2946976;2946976;2946976;3584798;3584798;3584798;3584798;3584798;3584798;3584798;3584798;3584798;3584798;3584798;3584798;4759906;4759906;4759906;4759906;4759906;4759906;4759906;4759906;4759906;4759906;4759906;4759906;5989700;5989700;5989700;5989700;5989700;5989700;5989700;5989700;5989700;5989700;5989700;5989700;6855200;6855200;6855200;6855200;6855200;6855200;6855200;6855200;6855200;6855200
Turnover ratio;Financials;0,13%;0,21%;0,23%;0,13%;0,48%;0,38%;0,30%;0,34%;0,29%;0,22%;0,44%;0,24%;0,16%;0,30%;0,28%;0,18%;0,36%;0,53%;0,20%;0,13%;0,10%;0,08%;0,16%;0,23%;0,40%;0,26%;0,70%;0,76%;0,33%;0,97%;0,83%;0,43%;0,11%;0,11%;0,38%;0,13%;0,56%;0,12%;0,28%;0,10%;0,19%;0,11%;0,33%;0,16%;0,06%;0,05%;0,41%;0,90%;0,08%;0,22%;0,15%;0,04%;0,08%;0,11%;0,04%;0,06%;0,04%;0,06%;0,10%;0,05%;0,05%;0,08%;0,06%;0,08%;0,07%;0,09%;0,07%;0,04%;0,60%;0,05%;0,25%;0,11%;0,06%;0,06%;0,15%;0,14%;0,07%;0,43%;0,18%;0,06%;0,11%;0,05%;0,06%;0,24%;0,06%;0,07%;0,05%;0,05%;0,08%;0,05%;0,04%;0,08%;0,05%;0,03%;0,09%;0,06%;0,02%;0,02%;0,01%;0,02%;0,02%;0,03%;0,04%;0,07%;0,03%;0,02%;0,03%;0,03%;0,02%;0,08%;0,19%;0,04%;0,03%;0,03%;0,03%;0,06%;0,03%;0,03%;0,05%;0,04%;0,05%;0,07%;0,03%;0,02%;0,03%;0,05%;0,03%;0,04%;0,03%;0,01%;0,02%;0,01%;0,01%;0,04%;0,02%;0,02%;0,11%;0,04%;0,01%;0,02%;0,12%;0,02%;0,02%;0,01%;0,02%;0,07%;0,02%;0,03%;0,06%;0,06%;0,04%;0,02%;0,02%;0,03%;0,04%;0,02%;0,02%
Return monthly;Financials;;0,083970311;-0,070423405;-0,113636596;0,119658588;0,015266861;0,19138944;0;0,105264054;-0,166666025;-0,12857232;0,0360648;0,048781799;-0,077518926;-0,185180188;-0,170167242;0,440505348;0,107207753;-0,154995535;0;0;-0,040001626;0,093751701;-0,066665929;0;0,030609766;0,029703511;-0,366637915;0,054545054;0,137931467;0,148324849;0,152776667;-0,012046856;0,024390312;0,166664382;-0,029198967;0,13043373;-0,025641081;0,013159022;0,025974054;0,004363526;-0,111864207;0,183207247;0;0,129031935;0,042856383;0,20548106;0,256453318;0,291513396;-0,042857043;0,044776011;-0,064286;0,027481418;0,188707321;0,056250238;0,074630285;0,063217928;0,329729525;-0,085365495;0,057478785;0,410256599;0,033332464;0,329032703;0,03707032;-0,106383083;-0,085714489;0,041666841;0,099315501;0,023255941;0,081363297;-0,014084112;0,077799719;0,104294831;0,022221829;0,00362329;0,025270678;0,073944005;0,002372859;-0,046488266;-0,023149933;-0,048473524;-0,01320785;-0,03167158;0,099999895;-0,036363487;-0,270566637;0,078634682;-0,155875519;0,107955202;0,07839557;-0,117821993;0,161616527;-0,014610844;-0,140369449;-0,177215302;0,037972251;0,015037758;0,066666556;0,011111294;-0,038461704;0,132143094;0,010121306;0,079871895;0,109467869;0,10666657;0,566982814;-0,05982928;0,135905683;-0,114332174;0,018182399;-0,01562549;0,170069057;0,093022385;-0,068110876;0,042307619;0,107010955;0,015000197;0,216748999;-0,035088129;0,0126668;0,094443832;-0,030456948;0,130890474;-0,099536965;0,121850842;0,147666563;-0,032291313;-0,030239517;-0,019354856;0,01973686;0,0711828;-0,035317826;-0,016736132;0;0;0,044077674;0,218557188;-0,026057593;0,026928295;0,150397547;-0,043970437;0,038301537;-0,058798353;0,004746447;-0,044094173;0,003295113;0,005911529;0,025138433;0,050955028;-0,036886264;0,102388783;-0,076989831;0,08450734;0,178499235;0,010162613;-0,053947943;0,103812565
